"read.code,""disease"",""medcode"",""descr"",""category"",""disease_num"",""system"",""system_num"",""medcodeid"",""snomedctconceptid"",""snomedctdescriptionid"",""mapping"""
"NA,""Leukaemia"",NA,""Acute myeloid leukaemia, no ICD-O subtype"",NA,""89"",""Cancers"",""1"",""2782301000006110"",""17788007"",""2772124014"",""termsearch"""
"NA,""Leukaemia"",NA,""Aleukaemic myeloid leukaemia"",NA,""89"",""Cancers"",""1"",""289908018"",""188741003"",""289908018"",""termsearch"""
"NA,""Leukaemia"",NA,""Lymphoid leukaemia - acute"",NA,""89"",""Cancers"",""1"",""880821000006114"",""91857003"",""880821000006114"",""termsearch"""
"NA,""Leukaemia"",NA,""Lymphoid leukaemia - chronic"",NA,""89"",""Cancers"",""1"",""880831000006112"",""92814006"",""880831000006112"",""termsearch"""
"NA,""Leukaemia"",NA,""Myeloid leukaemia - acute"",NA,""89"",""Cancers"",""1"",""880851000006117"",""91861009"",""880851000006117"",""termsearch"""
"NA,""Leukaemia"",NA,""Myeloid leukaemia - chronic"",NA,""89"",""Cancers"",""1"",""880861000006115"",""92818009"",""880861000006115"",""termsearch"""
",""Leukaemia"","""",""[m]acute lymphoid leukaemia"",""Diagnosis of Leukaemia"",""89"",""Cancers"",""1"",""12455761000006119"",""128935007"",""304361000006118"",""originalreadcode"""
",""Leukaemia"","""",""[m]erythroleukaemia"",""Diagnosis of Leukaemia"",""89"",""Cancers"",""1"",""11906781000006110"",""93451002"",""308321000006115"",""originalreadcode"""
",""Leukaemia"","""",""acute leukaemia nos"",""Diagnosis of Leukaemia"",""89"",""Cancers"",""1"",""12724391000006118"",""662421000000106"",""1454721000000119"",""originalreadcode"""
",""Leukaemia"","""",""acute monoblastic leukaemia"",""Diagnosis of Leukaemia"",""89"",""Cancers"",""1"",""2855891000006112"",""22331004"",""481318016"",""originalreadcode"""
",""Leukaemia"","""",""acute myeloblastic leukaemia"",""Diagnosis of Leukaemia"",""89"",""Cancers"",""1"",""2782281000006111"",""17788007"",""478420016"",""originalreadcode"""
",""Leukaemia"","""",""acute myelofibrosis"",""Diagnosis of Leukaemia"",""89"",""Cancers"",""1"",""3810391000006112"",""80570006"",""200877019"",""originalreadcode"""
",""Leukaemia"","""",""acute myelomonocytic leukaemia"",""Diagnosis of Leukaemia"",""89"",""Cancers"",""1"",""2999011000006111"",""30962008"",""484744018"",""originalreadcode"""
",""Leukaemia"","""",""acute panmyelosis"",""Diagnosis of Leukaemia"",""89"",""Cancers"",""1"",""3810361000006116"",""80570006"",""133678011"",""originalreadcode"""
",""Leukaemia"","""",""acute promyelocytic leukaemia"",""Diagnosis of Leukaemia"",""89"",""Cancers"",""1"",""2965511000006118"",""28950004"",""484019017"",""originalreadcode"""
",""Leukaemia"","""",""adult t-cell leukaemia"",""Diagnosis of Leukaemia"",""89"",""Cancers"",""1"",""3759591000006118"",""77430005"",""503568014"",""originalreadcode"""
",""Leukaemia"","""",""chloroma"",""Diagnosis of Leukaemia"",""89"",""Cancers"",""1"",""3068701000006115"",""35287006"",""58886018"",""originalreadcode"""
",""Leukaemia"","""",""chronic granulocytic leukaemia"",""Diagnosis of Leukaemia"",""89"",""Cancers"",""1"",""3530521000006112"",""63364005"",""499574013"",""originalreadcode"""
",""Leukaemia"","""",""chronic leukaemia nos"",""Diagnosis of Leukaemia"",""89"",""Cancers"",""1"",""12724401000006116"",""662431000000108"",""1454731000000117"",""originalreadcode"""
",""Leukaemia"","""",""chronic lymphatic leukaemia"",""Diagnosis of Leukaemia"",""89"",""Cancers"",""1"",""3327961000006112"",""51092000"",""495908014"",""originalreadcode"""
",""Leukaemia"","""",""chronic myeloid leukaemia"",""Diagnosis of Leukaemia"",""89"",""Cancers"",""1"",""3530471000006114"",""63364005"",""499573019"",""originalreadcode"""
",""Leukaemia"","""",""di guglielmo's disease"",""Diagnosis of Leukaemia"",""89"",""Cancers"",""1"",""4020861000006119"",""93451002"",""201658011"",""originalreadcode"""
",""Leukaemia"","""",""granulocytic sarcoma"",""Diagnosis of Leukaemia"",""89"",""Cancers"",""1"",""3068711000006117"",""35287006"",""58887010"",""originalreadcode"""
",""Leukaemia"","""",""hairy cell leukaemia"",""Diagnosis of Leukaemia"",""89"",""Cancers"",""1"",""12702811000006117"",""54087003"",""496857016"",""originalreadcode"""
",""Leukaemia"","""",""leukaemia nos"",""Diagnosis of Leukaemia"",""89"",""Cancers"",""1"",""12720971000006112"",""536101000000106"",""1196481000000114"",""originalreadcode"""
",""Leukaemia"","""",""leukaemia of unspecified cell type"",""Diagnosis of Leukaemia"",""89"",""Cancers"",""1"",""12724381000006116"",""662411000000100"",""1454701000000111"",""originalreadcode"""
",""Leukaemia"","""",""leukaemic reticuloendotheliosis"",""Diagnosis of Leukaemia"",""89"",""Cancers"",""1"",""3377381000006119"",""54087003"",""496859018"",""originalreadcode"""
",""Leukaemia"","""",""leukaemic reticuloendotheliosis of unspecified sites"",""Diagnosis of Leukaemia"",""89"",""Cancers"",""1"",""11926201000006119"",""118613001"",""745061000006110"",""originalreadcode"""
",""Leukaemia"","""",""lymphatic leukaemia"",""Diagnosis of Leukaemia"",""89"",""Cancers"",""1"",""3019991000006117"",""32280000"",""485180019"",""originalreadcode"""
",""Leukaemia"","""",""mast cell leukaemia"",""Diagnosis of Leukaemia"",""89"",""Cancers"",""1"",""4420081000006111"",""128924002"",""474674012"",""originalreadcode"""
",""Leukaemia"","""",""megakaryocytic leukaemia"",""Diagnosis of Leukaemia"",""89"",""Cancers"",""1"",""3346481000006113"",""52220008"",""496242018"",""originalreadcode"""
",""Leukaemia"","""",""monoblastic leukaemia"",""Diagnosis of Leukaemia"",""89"",""Cancers"",""1"",""2855881000006114"",""22331004"",""481317014"",""originalreadcode"""
",""Leukaemia"","""",""monocytic leukaemia"",""Diagnosis of Leukaemia"",""89"",""Cancers"",""1"",""3109021000006112"",""37810007"",""3109021000006112"",""originalreadcode"""
",""Leukaemia"","""",""myeloid leukaemia"",""Diagnosis of Leukaemia"",""89"",""Cancers"",""1"",""3108791000006116"",""37810007"",""486867011"",""originalreadcode"""
",""Leukaemia"","""",""myeloid sarcoma"",""Diagnosis of Leukaemia"",""89"",""Cancers"",""1"",""3068691000006115"",""35287006"",""58885019"",""originalreadcode"""
",""Leukaemia"","""",""myelomonocytic leukaemia"",""Diagnosis of Leukaemia"",""89"",""Cancers"",""1"",""3109051000006115"",""37810007"",""486861012"",""originalreadcode"""
",""Leukaemia"","""",""other specified leukaemia"",""Diagnosis of Leukaemia"",""89"",""Cancers"",""1"",""12725351000006113"",""634651000000103"",""1398721000000114"",""originalreadcode"""
",""Leukaemia"","""",""other specified leukaemia nos"",""Diagnosis of Leukaemia"",""89"",""Cancers"",""1"",""12731331000006118"",""662401000000102"",""1454681000000114"",""originalreadcode"""
",""Leukaemia"","""",""prolymphocytic leukaemia"",""Diagnosis of Leukaemia"",""89"",""Cancers"",""1"",""4420051000006115"",""128923008"",""474673018"",""originalreadcode"""
",""Leukaemia"","""",""subacute leukaemia nos"",""Diagnosis of Leukaemia"",""89"",""Cancers"",""1"",""12724411000006118"",""662441000000104"",""1454761000000110"",""originalreadcode"""
"B624.00,""Leukaemia"",""27330"",""Leukaemic reticuloendotheliosis"",""Diagnosis of Leukaemia"",""89"",""Cancers"",""1"",""745001000006114"",""118613001"",""1215903015"",""cleansedreadcode"""
