medcodeid,term,condition
3299911000006116,Atrial fibrillation (disorder),Q code group Atrial Fibrillation or Flutter
82343012,Atrial fibrillation (disorder),Q code group Atrial Fibrillation or Flutter
300130013,Atrial fibrillation and flutter (disorder),Q code group Atrial Fibrillation or Flutter
300132017,Atrial fibrillation and flutter (disorder),Q code group Atrial Fibrillation or Flutter
8439861000006115,Atrial fibrillation detected (finding),Q code group Atrial Fibrillation or Flutter
8037691000006113,Atrial fibrillation with rapid ventricular response (disorder),Q code group Atrial Fibrillation or Flutter
9988012,Atrial flutter (disorder),Q code group Atrial Fibrillation or Flutter
2608251000000116,Atypical atrial flutter (disorder),Q code group Atrial Fibrillation or Flutter
9868941000006116,Atypical atrial flutter (disorder),Q code group Atrial Fibrillation or Flutter
9868951000006119,Atypical atrial flutter (disorder),Q code group Atrial Fibrillation or Flutter
2675253013,Chronic atrial fibrillation (disorder),Q code group Atrial Fibrillation or Flutter
7046981000006110,Chronic atrial flutter (disorder),Q code group Atrial Fibrillation or Flutter
5887651000006116,Controlled atrial fibrillation (disorder),Q code group Atrial Fibrillation or Flutter
256479014,Electrocardiographic atrial flutter (finding),Q code group Atrial Fibrillation or Flutter
4586631000006118,Electrocardiographic atrial flutter (finding),Q code group Atrial Fibrillation or Flutter
4586641000006111,Electrocardiographic atrial flutter (finding),Q code group Atrial Fibrillation or Flutter
7731461000006119,Familial atrial fibrillation (disorder),Q code group Atrial Fibrillation or Flutter
456154015,History of atrial fibrillation (situation),Q code group Atrial Fibrillation or Flutter
6016401000006115,History of atrial fibrillation (situation),Q code group Atrial Fibrillation or Flutter
2692063011,History of atrial flutter (situation),Q code group Atrial Fibrillation or Flutter
5057261000006110,Lone atrial fibrillation (disorder),Q code group Atrial Fibrillation or Flutter
7610331000006110,Longstanding persistent atrial fibrillation (disorder),Q code group Atrial Fibrillation or Flutter
350465014,Non-rheumatic atrial fibrillation (disorder),Q code group Atrial Fibrillation or Flutter
5057281000006117,Non-rheumatic atrial fibrillation (disorder),Q code group Atrial Fibrillation or Flutter
421235014,Paroxysmal atrial fibrillation (disorder),Q code group Atrial Fibrillation or Flutter
5669591000006113,Paroxysmal atrial fibrillation (disorder),Q code group Atrial Fibrillation or Flutter
5669601000006117,Paroxysmal atrial fibrillation (disorder),Q code group Atrial Fibrillation or Flutter
5669611000006119,Paroxysmal atrial fibrillation (disorder),Q code group Atrial Fibrillation or Flutter
2675306013,Paroxysmal atrial flutter (disorder),Q code group Atrial Fibrillation or Flutter
636721000000112,Permanent atrial fibrillation (disorder),Q code group Atrial Fibrillation or Flutter
636701000000115,Persistent atrial fibrillation (disorder),Q code group Atrial Fibrillation or Flutter
3636234016,Preexcited atrial fibrillation (disorder),Q code group Atrial Fibrillation or Flutter
3636235015,Preexcited atrial fibrillation (disorder),Q code group Atrial Fibrillation or Flutter
6043781000006115,Rapid atrial fibrillation (disorder),Q code group Atrial Fibrillation or Flutter
2608211000000115,Typical atrial flutter (disorder),Q code group Atrial Fibrillation or Flutter
7803631000006115,Typical atrial flutter (disorder),Q code group Atrial Fibrillation or Flutter
7803641000006113,Typical atrial flutter (disorder),Q code group Atrial Fibrillation or Flutter
