prodcodeid,term,condition
9.15934E+15,Actelsar HCT 40mg/12.5mg tablets (Actavis UK Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
9.15944E+15,Actelsar HCT 80mg/12.5mg tablets (Actavis UK Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
9.15954E+15,Actelsar HCT 80mg/25mg tablets (Actavis UK Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
5.9141E+13,Amias 16mg tablets (Takeda UK Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
5.9241E+13,Amias 2mg tablets (Takeda UK Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
3.22734E+15,Amias 32mg tablets (Takeda UK Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
5.9341E+13,Amias 4mg tablets (Takeda UK Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
5.9441E+13,Amias 8mg tablets (Takeda UK Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
7.5941E+13,Aprovel 150mg tablets (Sanofi-Synthelabo Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
7.6041E+13,Aprovel 300mg tablets (Sanofi-Synthelabo Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
7.6141E+13,Aprovel 75mg tablets (Sanofi-Synthelabo Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
7.75484E+15,Azilsartan medoxomil 20mg tablets (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
3.15254E+15,Co-Diovan 160mg/12.5mg tablets (Novartis Pharmaceuticals UK Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
3.15264E+15,Co-Diovan 160mg/25mg tablets (Novartis Pharmaceuticals UK Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
3.19084E+15,Co-Diovan 80mg/12.5mg tablets (Novartis Pharmaceuticals UK Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
2.21614E+15,CoAprovel 150mg/12.5mg tablets (Sanofi-Synthelabo Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
2.21624E+15,CoAprovel 300mg/12.5mg tablets (Sanofi-Synthelabo Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
3.99534E+15,CoAprovel 300mg/25mg tablets (sanofi-aventis) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
2.72024E+15,Cozaar 100mg tablets (Merck Sharp & Dohme Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
4.95764E+15,Cozaar 12.5mg tablets (Merck Sharp & Dohme Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
5.15004E+15,Cozaar 2.5 mg/ml oral suspension (Merck Sharp & Dohme Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
3.70441E+14,Cozaar 25mg tablets (Merck Sharp & Dohme Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
3.70541E+14,Cozaar 50mg tablets (Merck Sharp & Dohme Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
3.34694E+15,Cozaar-Comp 100/25 tablets (Merck Sharp & Dohme Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
4.42484E+15,Cozaar-Comp 100mg/12.5mg tablets (Merck Sharp & Dohme Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
3.70841E+14,Cozaar-Comp 50mg/12.5mg tablets (Merck Sharp & Dohme Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
4.37641E+14,Diovan 160mg capsules (Novartis Pharmaceuticals UK Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
4.42504E+15,Diovan 320mg tablets (Novartis Pharmaceuticals UK Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
6.52854E+15,Diovan 3mg/1ml oral solution (Novartis Pharmaceuticals UK Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
4.37741E+14,Diovan 40mg capsules (Novartis Pharmaceuticals UK Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
3.20144E+15,Diovan 40mg tablets (Novartis Pharmaceuticals UK Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
4.37841E+14,Diovan 80mg capsules (Novartis Pharmaceuticals UK Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
7.75514E+15,Edarbi 20mg tablets (Takeda UK Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
7.75524E+15,Edarbi 40mg tablets (Takeda UK Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
7.75534E+15,Edarbi 80mg tablets (Takeda UK Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
1.09439E+16,Entresto 24mg/26mg tablets (Novartis Pharmaceuticals UK Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
1.0944E+16,Entresto 49mg/51mg tablets (Novartis Pharmaceuticals UK Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
1.09441E+16,Entresto 97mg/103mg tablets (Novartis Pharmaceuticals UK Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
8.55424E+15,Ifirmasta 150mg tablets (Consilient Health Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
8.55434E+15,Ifirmasta 300mg tablets (Consilient Health Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
8.55414E+15,Ifirmasta 75mg tablets (Consilient Health Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
5.97064E+15,Irbesartan 150mg/5ml oral suspension (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
6.16784E+15,Irbesartan 20mg oral powder sachets (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
3.99524E+15,Irbesartan 300mg / Hydrochlorothiazide 25mg tablets (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
4.95434E+15,Irbesartan 300mg/5ml oral suspension (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
6.42394E+15,Irbesartan 30mg oral powder sachets (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
6.43574E+15,Irbesartan 37.5mg oral powder sachets (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
4.42474E+15,Losartan 100mg / Hydrochlorothiazide 12.5mg tablets (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
5.97174E+15,Losartan 100mg/5ml oral solution (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
5.97184E+15,Losartan 100mg/5ml oral suspension (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
4.95754E+15,Losartan 12.5mg tablets (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
5.14994E+15,Losartan 2.5mg/ml oral suspension sugar free (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
5.97194E+15,Losartan 50mg/5ml oral solution (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
5.97204E+15,Losartan 50mg/5ml oral suspension (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
2.27274E+15,Micardis 20mg tablets (Boehringer Ingelheim Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
1.84974E+15,Micardis 40mg tablets (Boehringer Ingelheim Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
1.84984E+15,Micardis 80mg tablets (Boehringer Ingelheim Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
2.86424E+15,MicardisPlus 40/12.5mg tablets (Boehringer Ingelheim Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
2.86434E+15,MicardisPlus 80/12.5mg tablets (Boehringer Ingelheim Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
4.54884E+15,MicardisPlus 80/25mg tablets (Boehringer Ingelheim Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
4.27324E+15,Olmesartan medoxomil 10mg/5ml oral suspension (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
3.90904E+15,Olmesartan medoxomil 20mg / Hydrochlorothiazide 25mg tablets (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
2.94484E+15,Olmetec 10mg tablets (Sankyo Pharma UK) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
2.94494E+15,Olmetec 20mg tablets (Sankyo Pharma UK) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
2.94504E+15,Olmetec 40mg tablets (Sankyo Pharma UK) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
3.90914E+15,Olmetec Plus 20mg/12.5mg tablets (Sankyo Pharma UK) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
3.90924E+15,Olmetec Plus 20mg/25mg tablets (Sankyo Pharma UK) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
5.56644E+15,Olmetec Plus 40mg/12.5mg tablets (Daiichi Sankyo UK Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
8.19404E+15,Sabervel 150mg tablets (Aspire Pharma Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
8.19414E+15,Sabervel 300mg tablets (Aspire Pharma Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
8.19394E+15,Sabervel 75mg tablets (Aspire Pharma Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
1.09436E+16,Sacubitril 24mg / Valsartan 26mg tablets (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
1.09437E+16,Sacubitril 49mg / Valsartan 51mg tablets (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
