prodcodeid,term,condition
3.041E+12,Acebutolol 100mg capsules (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
3.16294E+15,Acebutolol 200mg / Hydrochlorothiazide 12.5mg tablets (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
3.141E+12,Acebutolol 200mg capsules (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.0741E+13,Acebutolol 400mg tablets (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
7.0941E+13,Antipressan 100mg tablets (Teva UK Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
6.9441E+13,Antipressan 25mg tablets (Teva UK Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
7.1041E+13,Antipressan 50mg tablets (Teva UK Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
9.0541E+13,Atenix 100 tablets (Ashbourne Pharmaceuticals Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
9.1841E+13,Atenix 25 tablets (Ashbourne Pharmaceuticals Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
9.2541E+13,Atenix 50 tablets (Ashbourne Pharmaceuticals Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
9.0741E+13,Atenix Co 100 tablets (Ashbourne Pharmaceuticals Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
9.2441E+13,Atenix Co 50 tablets (Ashbourne Pharmaceuticals Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
9.0441E+13,Atenolol 25mg/5ml oral solution sugar free (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
3.24694E+15,Atenolol 50mg / Nifedipine 20mg modified-release capsules (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
8.9541E+13,Atenolol 5mg/10ml solution for injection ampoules (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.26823E+16,Bedranol 10mg tablets (Ennogen Pharma Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.26827E+16,Bedranol 160mg tablets (Ennogen Pharma Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.26824E+16,Bedranol 40mg tablets (Ennogen Pharma Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.26826E+16,Bedranol 80mg tablets (Ennogen Pharma Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.24241E+14,Bedranol SR 160mg capsules (Sandoz Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
2.71184E+15,Bedranol SR 80mg capsules (Sandoz Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.24341E+14,Beta-Adalat modified-release capsules (Bayer Plc) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.43941E+14,Beta-Cardone 200mg tablets (Celltech Pharmaceuticals Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.44041E+14,Beta-Cardone 40mg tablets (Celltech Pharmaceuticals Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.44141E+14,Beta-Cardone 80mg tablets (Celltech Pharmaceuticals Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.33141E+14,Beta-Prograne 160mg modified-release capsules (Tillomed Laboratories) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.44341E+14,Betaloc 100mg tablets (AstraZeneca) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.44441E+14,Betaloc 50mg tablets (AstraZeneca) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.31141E+14,Betaloc I.V. 5mg/5ml solution for injection ampoules (AstraZeneca) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.44541E+14,Betaloc-SA 200mg tablets (AstraZeneca) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.44741E+14,Betim 10mg tablets (Valeant Pharm) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
2.63814E+15,Bipranix 10mg tablets (Ashbourne Pharmaceuticals Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
2.63804E+15,Bipranix 5mg tablets (Ashbourne Pharmaceuticals Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
5.89804E+15,Bisoprolol 1.25mg/5ml oral solution (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
5.89814E+15,Bisoprolol 1.25mg/5ml oral suspension (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.00252E+16,Bisoprolol 10mg / Aspirin 100mg capsules (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.00251E+16,Bisoprolol 10mg / Aspirin 75mg capsules (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
8.53644E+15,Bisoprolol 10mg/5ml oral suspension (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
5.99104E+15,Bisoprolol 2.5mg/5ml oral solution (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
4.50794E+15,Bisoprolol 2.5mg/5ml oral suspension (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.0025E+16,Bisoprolol 5mg / Aspirin 100mg capsules (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.00249E+16,Bisoprolol 5mg / Aspirin 75mg capsules (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
5.89824E+15,Bisoprolol 5mg/5ml oral solution (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
5.89834E+15,Bisoprolol 5mg/5ml oral suspension (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
5.89844E+15,Bisoprolol 625micrograms/5ml oral solution (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
5.89854E+15,Bisoprolol 625micrograms/5ml oral suspension (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
4.26714E+15,Bisoprolol 7.5mg/5ml oral suspension (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
5.65524E+15,Brevibloc 100mg/10ml solution for injection vials (Baxter Healthcare Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.58041E+14,Brevibloc Concentrate 2.5g/10ml solution for injection ampoules (Baxter Healthcare Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
5.65624E+15,Brevibloc Premixed 2.5g/250ml infusion bags (Baxter Healthcare Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.95224E+15,Cardicor 1.25mg tablets (Merck Pharmaceuticals) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.95274E+15,Cardicor 10mg tablets (Merck Pharmaceuticals) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.95234E+15,Cardicor 2.5mg tablets (Merck Pharmaceuticals) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.95244E+15,Cardicor 3.75mg tablets (Merck Pharmaceuticals) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.95254E+15,Cardicor 5mg tablets (Merck Pharmaceuticals) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.95264E+15,Cardicor 7.5mg tablets (Merck Pharmaceuticals) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
5.28874E+15,Carvedilol 5mg/5ml oral suspension (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
2.36141E+14,Celectol 200mg tablets (Pantheon Healthcare Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
2.33241E+14,Celectol 400mg tablets (Pantheon Healthcare Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
3.72841E+14,Co-Betaloc SA tablets (Pfizer Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
3.72741E+14,Co-Betaloc tablets (Pfizer Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
3.77341E+14,Co-prenozide 160mg/0.25mg modified-release tablets (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
3.98454E+15,Congescor 1.25mg tablets (Tillomed Laboratories) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
3.98464E+15,Congescor 2.5mg tablets (Tillomed Laboratories) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
3.75241E+14,Corgard 40mg tablets (Sanofi-Synthelabo Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
3.75341E+14,Corgard 80mg tablets (Sanofi-Synthelabo Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
3.75441E+14,Corgaretic 40mg tablets (Sanofi-Synthelabo Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
3.75541E+14,Corgaretic 80mg tablets (Sanofi-Synthelabo Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
5.14141E+14,Emcor 10mg tablets (Merck Pharmaceuticals) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
5.13941E+14,Emcor LS 5mg tablets (Merck Pharmaceuticals) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
4.20224E+15,Esmolol 100mg/10ml solution for injection vials (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.22069E+16,Esmolol 2.5g powder for solution for infusion vials (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
