medcodeid,term,condition
2.19607E+15,Baseline body mass index (observable entity),Q code group body mass index
8.28699E+15,Baseline body mass index (observable entity),Q code group body mass index
100716012,Body mass index (observable entity),Q code group body mass index
3.48478E+15,Body mass index (observable entity),Q code group body mass index
3.48479E+15,Body mass index (observable entity),Q code group body mass index
3.4848E+15,Body mass index (observable entity),Q code group body mass index
3.48481E+15,Body mass index (observable entity),Q code group body mass index
9.23861E+14,Body mass index (observable entity),Q code group body mass index
1.19234E+16,Finding of body mass index (finding),Q code group body mass index
5.8922E+15,Finding of body mass index (finding),Q code group body mass index
5.89221E+15,Finding of body mass index (finding),Q code group body mass index
