prodcodeid,term,condition
1.4041E+13,Adalat 10mg capsules (Bayer Plc) (product),Q code group 2.6.2       Calcium Channel Blockers
1.4141E+13,Adalat 5 capsules (Bayer Plc) (product),Q code group 2.6.2       Calcium Channel Blockers
1.76634E+15,Adalat LA 20 tablets (Bayer Plc) (product),Q code group 2.6.2       Calcium Channel Blockers
1.7141E+13,Adalat LA 30 tablets (Bayer Plc) (product),Q code group 2.6.2       Calcium Channel Blockers
1.7241E+13,Adalat LA 60 tablets (Bayer Plc) (product),Q code group 2.6.2       Calcium Channel Blockers
1.9441E+13,Adalat retard 10 tablets (Bayer Plc) (product),Q code group 2.6.2       Calcium Channel Blockers
1.9341E+13,Adalat retard 20mg tablets (Bayer Plc) (product),Q code group 2.6.2       Calcium Channel Blockers
5.89194E+15,Adanif XL 30mg tablets (Focus Pharmaceuticals Ltd) (product),Q code group 2.6.2       Calcium Channel Blockers
5.89204E+15,Adanif XL 60mg tablets (Focus Pharmaceuticals Ltd) (product),Q code group 2.6.2       Calcium Channel Blockers
1.8341E+13,Adipine MR 10 tablets (Trinity Pharmaceuticals Ltd) (product),Q code group 2.6.2       Calcium Channel Blockers
1.8241E+13,Adipine MR 20 tablets (Trinity Pharmaceuticals Ltd) (product),Q code group 2.6.2       Calcium Channel Blockers
3.22544E+15,Adipine XL 30mg tablets (Trinity-Chiesi Pharmaceuticals Ltd) (product),Q code group 2.6.2       Calcium Channel Blockers
3.22554E+15,Adipine XL 60mg tablets (Trinity-Chiesi Pharmaceuticals Ltd) (product),Q code group 2.6.2       Calcium Channel Blockers
1.7341E+13,Adizem-SR 120mg capsules (Napp Pharmaceuticals Ltd) (product),Q code group 2.6.2       Calcium Channel Blockers
1.9641E+13,Adizem-SR 120mg tablets (Napp Pharmaceuticals Ltd) (product),Q code group 2.6.2       Calcium Channel Blockers
1.7441E+13,Adizem-SR 180mg capsules (Napp Pharmaceuticals Ltd) (product),Q code group 2.6.2       Calcium Channel Blockers
1.7641E+13,Adizem-SR 90mg capsules (Napp Pharmaceuticals Ltd) (product),Q code group 2.6.2       Calcium Channel Blockers
1.7741E+13,Adizem-XL 120mg capsules (Napp Pharmaceuticals Ltd) (product),Q code group 2.6.2       Calcium Channel Blockers
1.7841E+13,Adizem-XL 180mg capsules (Napp Pharmaceuticals Ltd) (product),Q code group 2.6.2       Calcium Channel Blockers
2.65334E+15,Adizem-XL 200mg capsules (Napp Pharmaceuticals Ltd) (product),Q code group 2.6.2       Calcium Channel Blockers
1.7941E+13,Adizem-XL 240mg capsules (Napp Pharmaceuticals Ltd) (product),Q code group 2.6.2       Calcium Channel Blockers
1.8041E+13,Adizem-XL 300mg capsules (Napp Pharmaceuticals Ltd) (product),Q code group 2.6.2       Calcium Channel Blockers
4.89774E+15,Amlodipine 1.5mg/5ml oral suspension (product),Q code group 2.6.2       Calcium Channel Blockers
3.03814E+15,Amlodipine 10mg tablets (product),Q code group 2.6.2       Calcium Channel Blockers
7.74064E+15,Amlodipine 10mg/5ml oral solution (product),Q code group 2.6.2       Calcium Channel Blockers
1.03874E+16,Amlodipine 10mg/5ml oral solution sugar free (product),Q code group 2.6.2       Calcium Channel Blockers
3.96374E+15,Amlodipine 10mg/5ml oral suspension (product),Q code group 2.6.2       Calcium Channel Blockers
3.03804E+15,Amlodipine 5mg tablets (product),Q code group 2.6.2       Calcium Channel Blockers
5.49024E+15,Amlodipine 5mg/5ml oral solution (product),Q code group 2.6.2       Calcium Channel Blockers
4.50804E+15,Amlodipine 5mg/5ml oral solution sugar free (product),Q code group 2.6.2       Calcium Channel Blockers
5.88874E+15,Amlodipine 5mg/5ml oral suspension (product),Q code group 2.6.2       Calcium Channel Blockers
1.26822E+16,Amlodipine 5mg/5ml oral suspension sugar free (product),Q code group 2.6.2       Calcium Channel Blockers
3.18884E+15,Amlostin 10mg tablets (Discovery Pharmaceuticals) (product),Q code group 2.6.2       Calcium Channel Blockers
3.18874E+15,Amlostin 5mg tablets (Discovery Pharmaceuticals) (product),Q code group 2.6.2       Calcium Channel Blockers
6.1841E+13,Angiopine 10 capsules (Ashbourne Pharmaceuticals Ltd) (product),Q code group 2.6.2       Calcium Channel Blockers
6.6141E+13,Angiopine MR 10mg tablets (Ashbourne Pharmaceuticals Ltd) (product),Q code group 2.6.2       Calcium Channel Blockers
6.5241E+13,Angiopine MR 20mg tablets (Ashbourne Pharmaceuticals Ltd) (product),Q code group 2.6.2       Calcium Channel Blockers
7.1141E+13,Angiozem 60mg modified-release tablets (Ashbourne Pharmaceuticals Ltd) (product),Q code group 2.6.2       Calcium Channel Blockers
6.6041E+13,Angiozem CR 120mg tablets (Ashbourne Pharmaceuticals Ltd) (product),Q code group 2.6.2       Calcium Channel Blockers
