medcodeid,term,condition
1.96601E+14,Afro-Caribbean (ethnic group),Q code group Ethnicity - Caribbean
285930014,Black Caribbean (ethnic group),Q code group Ethnicity - Caribbean
5.14611E+14,Black Caribbean (ethnic group),Q code group Ethnicity - Caribbean
405064011,Black Caribbean/West India/Guyana (ethnic group),Q code group Ethnicity - Caribbean
5.51668E+15,Black Caribbean/West India/Guyana (ethnic group),Q code group Ethnicity - Caribbean
453110019,Black Guyana (ethnic group),Q code group Ethnicity - Caribbean
453109012,Black West Indian (ethnic group),Q code group Ethnicity - Caribbean
1.54401E+14,Caribbean - ethnic category 2001 census (finding),Q code group Ethnicity - Caribbean
405067016,Caribbean I./W.I./Guyana (NMO) (ethnic group),Q code group Ethnicity - Caribbean
411578016,Caribbean Island (NMO) (ethnic group),Q code group Ethnicity - Caribbean
411580010,Guyana (NMO) (ethnic group),Q code group Ethnicity - Caribbean
250243013,Race: West indian (ethnic group),Q code group Ethnicity - Caribbean
411579012,West Indian (NMO) (ethnic group),Q code group Ethnicity - Caribbean
