medcodeid,term,condition
8.29038E+15,Cholesterol level (observable entity),Q code group Total cholesterol level (value)
6.279E+15,Finding of cholesterol level (finding),Q code group Total cholesterol level (value)
6.27901E+15,Finding of cholesterol level (finding),Q code group Total cholesterol level (value)
6.27902E+15,Finding of cholesterol level (finding),Q code group Total cholesterol level (value)
6.27903E+15,Finding of serum cholesterol level (finding),Q code group Total cholesterol level (value)
6.27904E+15,Finding of serum cholesterol level (finding),Q code group Total cholesterol level (value)
6.27905E+15,Finding of serum cholesterol level (finding),Q code group Total cholesterol level (value)
1484985012,Plasma total cholesterol level (observable entity),Q code group Total cholesterol level (value)
1.50921E+14,Serum cholesterol level (observable entity),Q code group Total cholesterol level (value)
259252011,Serum cholesterol level (observable entity),Q code group Total cholesterol level (value)
259239018,Serum cholesterol studies (observable entity),Q code group Total cholesterol level (value)
1.19282E+16,Serum fasting total cholesterol (procedure),Q code group Total cholesterol level (value)
4.05621E+14,Serum fasting total cholesterol level (observable entity),Q code group Total cholesterol level (value)
8.46047E+15,Serum fasting total cholesterol level (observable entity),Q code group Total cholesterol level (value)
2478443019,Serum total cholesterol level (observable entity),Q code group Total cholesterol level (value)
1.26208E+16,Substance concentration of cholesterol in plasma (observable entity),Q code group Total cholesterol level (value)
1.26208E+16,Substance concentration of cholesterol in plasma (observable entity),Q code group Total cholesterol level (value)
1.26208E+16,Substance concentration of cholesterol in serum (observable entity),Q code group Total cholesterol level (value)
1.26208E+16,Substance concentration of cholesterol in serum (observable entity),Q code group Total cholesterol level (value)
8.29294E+15,Total cholesterol level (observable entity),Q code group Total cholesterol level (value)
