medcodeid,term,condition
8.12047E+15,Acute nephritic syndrome co-occurrent and due to membranoproliferative glomerulonephritis type III (disorder),Q code group Chronic renal disease
4.58521E+14,"Acute nephritic syndrome, diffuse crescentic glomerulonephritis (disorder)",Q code group Chronic renal disease
4.40031E+14,"Acute nephritic syndrome, diffuse endocapillary proliferative glomerulonephritis (disorder)",Q code group Chronic renal disease
4.58451E+14,"Acute nephritic syndrome, diffuse membranous glomerulonephritis (disorder)",Q code group Chronic renal disease
4.55321E+14,"Acute nephritic syndrome, diffuse mesangial proliferative glomerulonephritis (disorder)",Q code group Chronic renal disease
4.58441E+14,"Acute nephritic syndrome, diffuse mesangiocapillary glomerulonephritis (disorder)",Q code group Chronic renal disease
7.61533E+15,Anemia co-occurrent and due to chronic kidney disease (disorder),Q code group Chronic renal disease
7.61534E+15,Anemia co-occurrent and due to chronic kidney disease (disorder),Q code group Chronic renal disease
7.61535E+15,Anemia co-occurrent and due to chronic kidney disease (disorder),Q code group Chronic renal disease
7.61536E+15,Anemia co-occurrent and due to chronic kidney disease (disorder),Q code group Chronic renal disease
8.2124E+15,Anemia co-occurrent and due to chronic kidney disease stage 3 (disorder),Q code group Chronic renal disease
8.21241E+15,Anemia co-occurrent and due to chronic kidney disease stage 3 (disorder),Q code group Chronic renal disease
8.21231E+15,Anemia co-occurrent and due to chronic kidney disease stage 4 (disorder),Q code group Chronic renal disease
8.21232E+15,Anemia co-occurrent and due to chronic kidney disease stage 4 (disorder),Q code group Chronic renal disease
8.21233E+15,Anemia co-occurrent and due to chronic kidney disease stage 4 (disorder),Q code group Chronic renal disease
8.21234E+15,Anemia co-occurrent and due to chronic kidney disease stage 4 (disorder),Q code group Chronic renal disease
8.21236E+15,Anemia co-occurrent and due to chronic kidney disease stage 5 (disorder),Q code group Chronic renal disease
8.21237E+15,Anemia co-occurrent and due to chronic kidney disease stage 5 (disorder),Q code group Chronic renal disease
8.21238E+15,Anemia co-occurrent and due to chronic kidney disease stage 5 (disorder),Q code group Chronic renal disease
8.21239E+15,Anemia co-occurrent and due to chronic kidney disease stage 5 (disorder),Q code group Chronic renal disease
5.33543E+15,Autosomal dominant polycystic kidney disease in childhood (disorder),Q code group Chronic renal disease
39884018,Calculous pyelonephritis (disorder),Q code group Chronic renal disease
3.01348E+15,Cardiovascular renal disease (disorder),Q code group Chronic renal disease
303868014,Chronic diffuse glomerulonephritis (disorder),Q code group Chronic renal disease
354537019,Chronic drug-induced renal disease (disorder),Q code group Chronic renal disease
303866013,Chronic exudative glomerulonephritis (disorder),Q code group Chronic renal disease
303867016,Chronic focal glomerulonephritis (disorder),Q code group Chronic renal disease
2.83282E+15,Chronic glomerulonephritis (disorder),Q code group Chronic renal disease
303864011,Chronic glomerulonephritis (disorder),Q code group Chronic renal disease
303869018,Chronic glomerulonephritis (disorder),Q code group Chronic renal disease
303870017,Chronic glomerulonephritis (disorder),Q code group Chronic renal disease
35171019,Chronic glomerulonephritis (disorder),Q code group Chronic renal disease
4.78851E+15,Chronic glomerulonephritis associated with another disorder (disorder),Q code group Chronic renal disease
5.54481E+14,Chronic glomerulonephritis associated with another disorder (disorder),Q code group Chronic renal disease
2771041011,Chronic kidney disease (disorder),Q code group Chronic renal disease
354409011,Chronic kidney disease (disorder),Q code group Chronic renal disease
7.64331E+15,Chronic kidney disease (disorder),Q code group Chronic renal disease
7.64333E+15,Chronic kidney disease (disorder),Q code group Chronic renal disease
7.82795E+15,Chronic kidney disease due to and following excision of neoplasm of kidney (disorder),Q code group Chronic renal disease
7.82796E+15,Chronic kidney disease due to and following excision of neoplasm of kidney (disorder),Q code group Chronic renal disease
7.82797E+15,Chronic kidney disease due to and following excision of neoplasm of kidney (disorder),Q code group Chronic renal disease
7.83209E+15,Chronic kidney disease due to traumatic loss of kidney (disorder),Q code group Chronic renal disease
8.03033E+15,Chronic kidney disease due to type 1 diabetes mellitus (disorder),Q code group Chronic renal disease
8.03034E+15,Chronic kidney disease due to type 1 diabetes mellitus (disorder),Q code group Chronic renal disease
7.82726E+15,Chronic kidney disease following donor nephrectomy (disorder),Q code group Chronic renal disease
9.94421E+14,Chronic kidney disease stage 3,Q code group Chronic renal disease
2773184015,Chronic kidney disease stage 3 (disorder),Q code group Chronic renal disease
3.04071E+14,Chronic kidney disease stage 3 (disorder),Q code group Chronic renal disease
7.17479E+15,Chronic kidney disease stage 3 (disorder),Q code group Chronic renal disease
7.96669E+15,Chronic kidney disease stage 3 associated with type 2 diabetes mellitus (disorder),Q code group Chronic renal disease
7.9667E+15,Chronic kidney disease stage 3 associated with type 2 diabetes mellitus (disorder),Q code group Chronic renal disease
7.96671E+15,Chronic kidney disease stage 3 associated with type 2 diabetes mellitus (disorder),Q code group Chronic renal disease
8.08707E+15,Chronic kidney disease stage 3 due to benign hypertension (disorder),Q code group Chronic renal disease
8.04068E+15,Chronic kidney disease stage 3 due to hypertension (disorder),Q code group Chronic renal disease
8.02745E+15,Chronic kidney disease stage 3 due to type 1 diabetes mellitus (disorder),Q code group Chronic renal disease
8.02746E+15,Chronic kidney disease stage 3 due to type 1 diabetes mellitus (disorder),Q code group Chronic renal disease
5.95811E+14,Chronic kidney disease stage 3 with proteinuria (disorder),Q code group Chronic renal disease
6.18431E+14,Chronic kidney disease stage 3 with proteinuria (disorder),Q code group Chronic renal disease
8.10423E+15,Chronic kidney disease stage 3 with proteinuria (disorder),Q code group Chronic renal disease
5.95871E+14,Chronic kidney disease stage 3 without proteinuria (disorder),Q code group Chronic renal disease
