medcodeid,term,condition
1.00681E+14,"Thrombosis of atrium, auricular appendage, and ventricle due to and following acute myocardial infarction (disorder)",Q code group Coronary Heart Disease (original)
106392017,Basilar artery syndrome (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
106394016,Basilar artery syndrome (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
109915012,Postmyocardial infarction syndrome (disorder),Q code group Coronary Heart Disease (original)
109916013,Postmyocardial infarction syndrome (disorder),Q code group Coronary Heart Disease (original)
116992017,Acute subendocardial infarction (disorder),Q code group Coronary Heart Disease (original)
1.17783E+16,Pericarditis due to acute myocardial infarction (disorder),Q code group Coronary Heart Disease (original)
1.18439E+16,Cerebrovascular accident due to stenosis of right carotid artery (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
1.18439E+16,Cerebrovascular accident due to stenosis of left carotid artery (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
1.18651E+16,Cerebrovascular accident due to occlusion of right carotid artery (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
118689010,Cerebral arterial thrombosis (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
1.18785E+16,Cerebrovascular accident due to occlusion of cerebral artery (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
1.18831E+14,Subsequent myocardial infarction (disorder),Q code group Coronary Heart Disease (original)
1.19111E+16,[V]Observation for suspected myocardial infarction (context-dependent category),Q code group Coronary Heart Disease (original)
1.19201E+16,Transient ischemic attack (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
1212072018,Occlusive stroke (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
1.21223E+16,Acute ST segment elevation myocardial infarction of inferolateral wall (disorder),Q code group Coronary Heart Disease (original)
1.21223E+16,Acute ST segment elevation myocardial infarction of inferoposterior wall (disorder),Q code group Coronary Heart Disease (original)
1.2126E+16,Angina co-occurrent and due to arteriosclerosis of autologous vein coronary artery bypass graft (disorder),Q code group Coronary Heart Disease (original)
1.2126E+16,Angina co-occurrent and due to arteriosclerosis of autologous vein coronary artery bypass graft (disorder),Q code group Coronary Heart Disease (original)
1.2126E+16,Unstable angina co-occurrent and due to arteriosclerosis of coronary artery bypass graft (disorder),Q code group Coronary Heart Disease (original)
1.2126E+16,Unstable angina co-occurrent and due to arteriosclerosis of coronary artery bypass graft (disorder),Q code group Coronary Heart Disease (original)
1218860015,Acute infarction of papillary muscle (disorder),Q code group Coronary Heart Disease (original)
1.22208E+16,Hemopericardium due to and following acute myocardial infarction (disorder),Q code group Coronary Heart Disease (original)
1.22208E+16,Hemopericardium due to and following acute myocardial infarction (disorder),Q code group Coronary Heart Disease (original)
1.22208E+16,Atrial septal defect due to and following acute myocardial infarction (disorder),Q code group Coronary Heart Disease (original)
1.22208E+16,Rupture of chordae tendinae due to and following acute myocardial infarction (disorder),Q code group Coronary Heart Disease (original)
1.22208E+16,"Thrombosis of atrium, auricular appendage, and ventricle due to and following acute myocardial infarction (disorder)",Q code group Coronary Heart Disease (original)
1.22213E+16,Cardiac rupture due to and following acute myocardial infarction (disorder),Q code group Coronary Heart Disease (original)
