prodcodeid,term,condition
3.16104E+15,Bendroflumethiazide 2.5mg / Potassium chloride 573mg (potassium 7.7mmol) modified-release tablets (product),Q code group 2.2.8       Diuretics With Potassium
3.16284E+15,Bendroflumethiazide 2.5mg / Potassium chloride 630mg (potassium 8.4mmol) modified-release tablets (product),Q code group 2.2.8       Diuretics With Potassium
1.84574E+15,Bumetanide 500microgram / Potassium chloride 573mg (potassium 7.7mmol) modified-release tablets (product),Q code group 2.2.8       Diuretics With Potassium
1.72941E+14,Burinex K modified-release tablets (LEO Pharma) (product),Q code group 2.2.8       Diuretics With Potassium
2.34841E+14,Centyl K modified-release tablets (LEO Pharma) (product),Q code group 2.2.8       Diuretics With Potassium
4.70541E+14,Diumide-K Continus tablets (Healthcare Logistics) (product),Q code group 2.2.8       Diuretics With Potassium
3.16244E+15,Furosemide 20mg / Potassium chloride 750mg (potassium 10mmol) modified-release tablets (product),Q code group 2.2.8       Diuretics With Potassium
3.16184E+15,Furosemide 40mg / Potassium 8mmol modified-release tablets (product),Q code group 2.2.8       Diuretics With Potassium
8.16141E+14,Lasikal modified-release tablets (Borg Medicare Ltd) (product),Q code group 2.2.8       Diuretics With Potassium
9.67041E+14,Neo-Naclex-K modified-release tablets (Goldshield Healthcare Ltd) (product),Q code group 2.2.8       Diuretics With Potassium
