medcodeid,term,condition
8.1937E+15,Family history of myocardial infarction in first degree relative less than 60 years (situation),Q code group Family history coronary heart disease
2.17391E+14,Family history: Angina at less than 60 years (situation),Q code group Family history coronary heart disease
5.57877E+15,Family history: Angina at less than 60 years (situation),Q code group Family history coronary heart disease
1780323013,Family history: Angina in first degree male relative less than 55 years (situation),Q code group Family history coronary heart disease
6.64879E+15,Family history: Angina in first degree male relative less than 55 years (situation),Q code group Family history coronary heart disease
6.6488E+15,Family history: Angina in first degree male relative less than 55 years (situation),Q code group Family history coronary heart disease
6.64881E+15,Family history: Angina in first degree male relative less than 55 years (situation),Q code group Family history coronary heart disease
397694017,Family history: Ischemic heart disease at less than 60 years (situation),Q code group Family history coronary heart disease
5.49541E+15,Family history: Ischemic heart disease at less than 60 years (situation),Q code group Family history coronary heart disease
5.49543E+15,Family history: Ischemic heart disease at less than 60 years (situation),Q code group Family history coronary heart disease
5.49544E+15,Family history: Ischemic heart disease at less than 60 years (situation),Q code group Family history coronary heart disease
5.49545E+15,Family history: Ischemic heart disease at less than 60 years (situation),Q code group Family history coronary heart disease
1780272016,Family history: Myocardial infarct in first degree male relative less than 55 years (situation),Q code group Family history coronary heart disease
6.64812E+15,Family history: Myocardial infarct in first degree male relative less than 55 years (situation),Q code group Family history coronary heart disease
6.64813E+15,Family history: Myocardial infarct in first degree male relative less than 55 years (situation),Q code group Family history coronary heart disease
6.64814E+15,Family history: Myocardial infarct in first degree male relative less than 55 years (situation),Q code group Family history coronary heart disease
2.17371E+14,Family history: Myocardial infarction at less than 60 (situation),Q code group Family history coronary heart disease
2.17381E+14,Family history: Myocardial infarction at less than 60 (situation),Q code group Family history coronary heart disease
5.56968E+15,Family history: Myocardial infarction at less than 60 (situation),Q code group Family history coronary heart disease
