medcodeid,term,condition
259567011,Plasma fasting high density lipoprotein cholesterol level (observable entity),Q code group HDL cholesterol 
458313013,Plasma high density lipoprotein cholesterol level (observable entity),Q code group HDL cholesterol 
259564016,Plasma random high density lipoprotein cholesterol level (observable entity),Q code group HDL cholesterol 
259242012,Serum fasting high density lipoprotein cholesterol level (observable entity),Q code group HDL cholesterol 
259232010,Serum high density lipoprotein cholesterol level (observable entity),Q code group HDL cholesterol 
8.38573E+15,Serum high density lipoprotein cholesterol level (observable entity),Q code group HDL cholesterol 
259243019,Serum random high density lipoprotein cholesterol level (observable entity),Q code group HDL cholesterol 
1.26223E+16,Substance concentration of high density lipoprotein cholesterol in plasma (observable entity),Q code group HDL cholesterol 
1.26223E+16,Substance concentration of high density lipoprotein cholesterol in plasma (observable entity),Q code group HDL cholesterol 
1.26223E+16,Substance concentration of high density lipoprotein cholesterol in serum (observable entity),Q code group HDL cholesterol 
1.26223E+16,Substance concentration of high density lipoprotein cholesterol in serum (observable entity),Q code group HDL cholesterol 
