medcodeid,term,condition
3135013,Benign essential hypertension (disorder),Q code group Hypertension 
3.66911E+15,Benign essential hypertension complicating AND/OR reason for care during childbirth (disorder),Q code group Hypertension 
2.87856E+15,Benign essential hypertension complicating AND/OR reason for care during pregnancy (disorder),Q code group Hypertension 
3.06894E+15,Benign essential hypertension complicating AND/OR reason for care during puerperium (disorder),Q code group Hypertension 
5.04831E+14,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium (disorder)",Q code group Hypertension 
8.87811E+14,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium (disorder)",Q code group Hypertension 
5.04791E+14,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium - delivered (disorder)",Q code group Hypertension 
5.04761E+14,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium - delivered with postnatal complication (disorder)",Q code group Hypertension 
5.04821E+14,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium - not delivered (disorder)",Q code group Hypertension 
5.04781E+14,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium with postnatal complication (disorder)",Q code group Hypertension 
3.52915E+15,Benign essential hypertension in obstetric context (disorder),Q code group Hypertension 
2.67051E+15,Benign hypertension (disorder),Q code group Hypertension 
2478822013,Benign secondary renovascular hypertension (disorder),Q code group Hypertension 
3.69371E+15,Benign secondary renovascular hypertension (disorder),Q code group Hypertension 
7.80541E+15,Brachydactyly and arterial hypertension syndrome (disorder),Q code group Hypertension 
7.80542E+15,Brachydactyly and arterial hypertension syndrome (disorder),Q code group Hypertension 
7.80543E+15,Brachydactyly and arterial hypertension syndrome (disorder),Q code group Hypertension 
7.80544E+15,Brachydactyly and arterial hypertension syndrome (disorder),Q code group Hypertension 
2.63114E+15,Chronic hypertension complicating AND/OR reason for care during childbirth (disorder),Q code group Hypertension 
3.10584E+15,Chronic hypertension complicating AND/OR reason for care during pregnancy (disorder),Q code group Hypertension 
2.88357E+15,Chronic hypertension complicating AND/OR reason for care during puerperium (disorder),Q code group Hypertension 
2.63978E+15,Chronic hypertension in obstetric context (disorder),Q code group Hypertension 
80224019,Diastolic hypertension (disorder),Q code group Hypertension 
3636694012,Diastolic hypertension co-occurrent with systolic hypertension (disorder),Q code group Hypertension 
3636695013,Diastolic hypertension co-occurrent with systolic hypertension (disorder),Q code group Hypertension 
3636696014,Diastolic hypertension co-occurrent with systolic hypertension (disorder),Q code group Hypertension 
3.63675E+15,Eclampsia added to pre-existing hypertension (disorder),Q code group Hypertension 
9.32441E+15,Eclampsia with pre-existing hypertension in childbirth (disorder),Q code group Hypertension 
9.32442E+15,Eclampsia with pre-existing hypertension in childbirth (disorder),Q code group Hypertension 
9.32443E+15,Eclampsia with pre-existing hypertension in childbirth (disorder),Q code group Hypertension 
3.47436E+15,Endocrine hypertension (disorder),Q code group Hypertension 
3.47437E+15,Endocrine hypertension (disorder),Q code group Hypertension 
3.46849E+15,Essential hypertension (disorder),Q code group Hypertension 
3.4685E+15,Essential hypertension (disorder),Q code group Hypertension 
395751018,Essential hypertension (disorder),Q code group Hypertension 
99042012,Essential hypertension (disorder),Q code group Hypertension 
99047018,Essential hypertension (disorder),Q code group Hypertension 
2.79262E+15,Essential hypertension complicating AND/OR reason for care during childbirth (disorder),Q code group Hypertension 
