medcodeid,term,condition
2.76685E+15,Absolute impotence (disorder),Q code group erectile dysfunction/Impotence
5.66354E+15,Arteriopathic impotence (disorder),Q code group erectile dysfunction/Impotence
1.73432E+15,Complaining of erectile dysfunction (finding),Q code group erectile dysfunction/Impotence
7.48662E+15,Complaining of erectile dysfunction (finding),Q code group erectile dysfunction/Impotence
7.48663E+15,Complaining of erectile dysfunction (finding),Q code group erectile dysfunction/Impotence
1.73428E+15,Diabetic erectile dysfunction review (regime/therapy),Q code group erectile dysfunction/Impotence
5.09827E+15,Drug-induced impotence (disorder),Q code group erectile dysfunction/Impotence
5.09828E+15,Endocrine impotence (disorder),Q code group erectile dysfunction/Impotence
1.23704E+16,Erectile dysfunction associated with type I diabetes mellitus (disorder),Q code group erectile dysfunction/Impotence
1.23704E+16,Erectile dysfunction associated with type I diabetes mellitus (disorder),Q code group erectile dysfunction/Impotence
7.96654E+15,Erectile dysfunction associated with type I diabetes mellitus (disorder),Q code group erectile dysfunction/Impotence
7.96655E+15,Erectile dysfunction associated with type I diabetes mellitus (disorder),Q code group erectile dysfunction/Impotence
8.11834E+15,Erectile dysfunction co-occurrent and due to arterial insufficiency (disorder),Q code group erectile dysfunction/Impotence
1.21026E+16,Erectile dysfunction due to diabetes mellitus (disorder),Q code group erectile dysfunction/Impotence
1.21026E+16,Erectile dysfunction due to diabetes mellitus (disorder),Q code group erectile dysfunction/Impotence
2.24333E+15,Erectile dysfunction due to diabetes mellitus (disorder),Q code group erectile dysfunction/Impotence
8.03459E+15,Erectile dysfunction due to general medical condition (disorder),Q code group erectile dysfunction/Impotence
1.23461E+16,Erectile dysfunction due to type 2 diabetes mellitus (disorder),Q code group erectile dysfunction/Impotence
1.23461E+16,Erectile dysfunction due to type 2 diabetes mellitus (disorder),Q code group erectile dysfunction/Impotence
7.08202E+15,Erectile dysfunction due to type 2 diabetes mellitus (disorder),Q code group erectile dysfunction/Impotence
8.12065E+15,Erectile dysfunction following prostate brachytherapy (disorder),Q code group erectile dysfunction/Impotence
8.11836E+15,Erectile dysfunction following radical cystectomy (disorder),Q code group erectile dysfunction/Impotence
8.11838E+15,Erectile dysfunction following radical prostatectomy (disorder),Q code group erectile dysfunction/Impotence
1.76875E+15,Erectile dysfunction unresponsive to phosphodiesterase-5 inhibitor (situation),Q code group erectile dysfunction/Impotence
7.09733E+15,History of male erectile disorder (situation),Q code group erectile dysfunction/Impotence
7.09734E+15,History of male erectile disorder (situation),Q code group erectile dysfunction/Impotence
1777409015,Impotence (disorder),Q code group erectile dysfunction/Impotence
1786154013,Impotence (disorder),Q code group erectile dysfunction/Impotence
3.96141E+14,Impotence (disorder),Q code group erectile dysfunction/Impotence
6.59298E+15,Impotence (disorder),Q code group erectile dysfunction/Impotence
6.59299E+15,Impotence (disorder),Q code group erectile dysfunction/Impotence
9.91801E+14,Impotence (disorder),Q code group erectile dysfunction/Impotence
304501018,Impotence of organic origin (disorder),Q code group erectile dysfunction/Impotence
4.79083E+15,Impotence of organic origin (disorder),Q code group erectile dysfunction/Impotence
9.32201E+14,Impotence of organic origin (disorder),Q code group erectile dysfunction/Impotence
8.118E+15,Male erectile disorder due to corporovenous occlusion (disorder),Q code group erectile dysfunction/Impotence
8.11801E+15,Male erectile disorder due to corporovenous occlusion (disorder),Q code group erectile dysfunction/Impotence
3.69101E+14,Management of erectile dysfunction (procedure),Q code group erectile dysfunction/Impotence
5.09829E+15,Neuropathic impotence (disorder),Q code group erectile dysfunction/Impotence
7.48152E+15,Primary erectile dysfunction (disorder),Q code group erectile dysfunction/Impotence
7.48153E+15,Primary erectile dysfunction (disorder),Q code group erectile dysfunction/Impotence
4.24011E+14,Psychogenic impotence (disorder),Q code group erectile dysfunction/Impotence
3.02271E+14,Referral to erectile dysfunction clinic (procedure),Q code group erectile dysfunction/Impotence
1.73629E+15,Referral to erectile dysfunction clinic declined (situation),Q code group erectile dysfunction/Impotence
2.9129E+15,Relative impotence (disorder),Q code group erectile dysfunction/Impotence
7.48154E+15,Secondary erectile dysfunction (disorder),Q code group erectile dysfunction/Impotence
7.48155E+15,Secondary erectile dysfunction (disorder),Q code group erectile dysfunction/Impotence
7.98856E+15,Vasculopathic erectile dysfunction (disorder),Q code group erectile dysfunction/Impotence
