medcodeid,term,condition
285978014,Irish (NMO) (ethnic group),Q code group Ethnicity - Irish
1.41301E+14,Irish - ethnic category 2001 census (finding),Q code group Ethnicity - Irish
1.96825E+15,Irish Traveller - Northern Ireland ethnic category 2011 census (finding),Q code group Ethnicity - Irish
1.38171E+14,Irish Traveller - ethnic category 2001 census (finding),Q code group Ethnicity - Irish
459786016,Irish traveller (ethnic group),Q code group Ethnicity - Irish
1.41451E+14,Northern Irish - ethnic category 2001 census (finding),Q code group Ethnicity - Irish
459727011,White Irish (ethnic group),Q code group Ethnicity - Irish
1.06404E+15,White Irish - ethnic category 2001 census (finding),Q code group Ethnicity - Irish
1.96807E+15,White: Gypsy or Irish Traveller - England and Wales ethnic category 2011 census (finding),Q code group Ethnicity - Irish
1.96844E+15,White: Gypsy or Irish Traveller - Scotland ethnic category 2011 census (finding),Q code group Ethnicity - Irish
2.48467E+15,White: Irish - England and Wales ethnic category 2011 census (finding),Q code group Ethnicity - Irish
2.48736E+15,White: Irish - Scotland ethnic category 2011 census (finding),Q code group Ethnicity - Irish
