medcodeid,term,condition
126030010,Abdominal migraine (disorder),Q code group Migraine
317576014,Abdominal migraine (disorder),Q code group Migraine
3.73383E+15,Abdominal migraine (disorder),Q code group Migraine
252573011,Abdominal migraine - symptom (finding),Q code group Migraine
4.06035E+15,Acute confusional migraine (disorder),Q code group Migraine
8.04628E+15,Allergic migraine (disorder),Q code group Migraine
5.00843E+15,Atypical cluster headache (disorder),Q code group Migraine
138248010,Basilar migraine (disorder),Q code group Migraine
3.85648E+15,Basilar migraine (disorder),Q code group Migraine
3.85649E+15,Basilar migraine (disorder),Q code group Migraine
3.8565E+15,Basilar migraine (disorder),Q code group Migraine
5.03427E+15,Benign recurrent vertigo (disorder),Q code group Migraine
5.0084E+15,Chronic cluster headache (disorder),Q code group Migraine
5.00842E+15,Chronic cluster headache evolved from episodic cluster headache (disorder),Q code group Migraine
5.00841E+15,Chronic cluster headache unremitting from onset (disorder),Q code group Migraine
8.03879E+15,Chronic intractable migraine without aura (disorder),Q code group Migraine
4.06041E+15,Chronic mixed headache syndrome (disorder),Q code group Migraine
2.35151E+14,Cluster headache syndrome (disorder),Q code group Migraine
297338014,Cluster headache syndrome (disorder),Q code group Migraine
4.76983E+15,Cluster headache syndrome (disorder),Q code group Migraine
4.76986E+15,Cluster headache syndrome (disorder),Q code group Migraine
4.76987E+15,Cluster headache syndrome (disorder),Q code group Migraine
4.76988E+15,Cluster headache syndrome (disorder),Q code group Migraine
4.76989E+15,Cluster headache syndrome (disorder),Q code group Migraine
4.7699E+15,Cluster headache syndrome (disorder),Q code group Migraine
4.76991E+15,Cluster headache syndrome (disorder),Q code group Migraine
8.28201E+14,Cluster headache syndrome (disorder),Q code group Migraine
297354012,Complicated migraine (disorder),Q code group Migraine
4.76993E+15,Complicated migraine (disorder),Q code group Migraine
5.00839E+15,Episodic cluster headache (disorder),Q code group Migraine
4.06039E+15,Familial hemiplegic migraine (disorder),Q code group Migraine
4.0604E+15,Familial hemiplegic migraine (disorder),Q code group Migraine
98501012,Hemiplegic migraine (disorder),Q code group Migraine
251645017,History of migraine (situation),Q code group Migraine
4.54016E+15,History of migraine (situation),Q code group Migraine
1.74708E+15,History of migraine with aura (situation),Q code group Migraine
7.05162E+15,Intractable ophthalmic migraine (disorder),Q code group Migraine
2.91852E+15,Lower half migraine (disorder),Q code group Migraine
2.21281E+14,Menstrual migraine (disorder),Q code group Migraine
8.03876E+15,Menstrual status migrainosus (disorder),Q code group Migraine
297352011,Migraine (disorder),Q code group Migraine
297355013,Migraine (disorder),Q code group Migraine
297356014,Migraine (disorder),Q code group Migraine
299338017,Migraine (disorder),Q code group Migraine
63055014,Migraine (disorder),Q code group Migraine
5.00829E+15,Migraine aura without headache (disorder),Q code group Migraine
5.0083E+15,Migraine aura without headache (disorder),Q code group Migraine
5.00831E+15,Migraine aura without headache (disorder),Q code group Migraine
7.6899E+15,Migraine caused by estrogen contraceptive (disorder),Q code group Migraine
7.68991E+15,Migraine caused by estrogen contraceptive (disorder),Q code group Migraine
7.68992E+15,Migraine caused by estrogen contraceptive (disorder),Q code group Migraine
7.68993E+15,Migraine caused by estrogen contraceptive (disorder),Q code group Migraine
1.74695E+15,Migraine induced by oestrogen contraceptive (disorder),Q code group Migraine
7.30629E+15,Migraine variant with headache (disorder),Q code group Migraine
297337016,Migraine variants (disorder),Q code group Migraine
297351016,Migraine variants (disorder),Q code group Migraine
7.03142E+15,"Migraine variants, not intractable (disorder)",Q code group Migraine
2.57016E+15,Migraine with aura (disorder),Q code group Migraine
7595017,Migraine with aura (disorder),Q code group Migraine
5.00835E+15,Migraine with ischemic complication (disorder),Q code group Migraine
5.00836E+15,Migraine with ischemic complication (disorder),Q code group Migraine
7.52039E+15,Migraine with persistent visual aura (disorder),Q code group Migraine
7.5204E+15,Migraine with persistent visual aura (disorder),Q code group Migraine
7596016,Migraine with typical aura (disorder),Q code group Migraine
297336013,Migraine without aura (disorder),Q code group Migraine
93294013,Migraine without aura (disorder),Q code group Migraine
93295014,Migraine without aura (disorder),Q code group Migraine
93296010,Migraine without aura (disorder),Q code group Migraine
7.03689E+15,"Migraine without aura, not refractory (disorder)",Q code group Migraine
7.0369E+15,"Migraine without aura, not refractory (disorder)",Q code group Migraine
5.03425E+15,Migrainous vertigo (disorder),Q code group Migraine
5.03426E+15,Migrainous vertigo (disorder),Q code group Migraine
5.00828E+15,Non-familial hemiplegic migraine (disorder),Q code group Migraine
158460019,Ophthalmic migraine (disorder),Q code group Migraine
4.06038E+15,Ophthalmic migraine (disorder),Q code group Migraine
7.00211E+14,Recurrent painful ophthalmoplegic neuropathy (disorder),Q code group Migraine
82623012,Recurrent painful ophthalmoplegic neuropathy (disorder),Q code group Migraine
7.01607E+15,Refractory migraine (disorder),Q code group Migraine
7.01608E+15,Refractory migraine (disorder),Q code group Migraine
7.04315E+15,Refractory migraine variants (disorder),Q code group Migraine
7.04316E+15,Refractory migraine variants (disorder),Q code group Migraine
7.01194E+15,Refractory migraine with aura (disorder),Q code group Migraine
7.01195E+15,Refractory migraine with aura (disorder),Q code group Migraine
7.01196E+15,Refractory migraine with aura (disorder),Q code group Migraine
7.01197E+15,Refractory migraine with aura (disorder),Q code group Migraine
7.00472E+15,Refractory migraine without aura (disorder),Q code group Migraine
7.00473E+15,Refractory migraine without aura (disorder),Q code group Migraine
7.00474E+15,Refractory migraine without aura (disorder),Q code group Migraine
7.00475E+15,Refractory migraine without aura (disorder),Q code group Migraine
3.78908E+15,Retinal migraine (disorder),Q code group Migraine
345355014,Status migrainosus (disorder),Q code group Migraine
5.00834E+15,Status migrainosus (disorder),Q code group Migraine
3513677013,Status migrainosus co-occurrent and due to migraine without aura (disorder),Q code group Migraine
3514339017,Status migrainosus co-occurrent and due to migraine without aura (disorder),Q code group Migraine
7.85571E+15,Stroke co-occurrent with migraine (disorder),Q code group Migraine
7.85572E+15,Stroke co-occurrent with migraine (disorder),Q code group Migraine
7.85573E+15,Stroke co-occurrent with migraine (disorder),Q code group Migraine
1.23453E+16,Transformed migraine (disorder),Q code group Migraine
7.07361E+15,Transformed migraine (disorder),Q code group Migraine
