medcodeid,term,condition
2.94408E+15,Ainu (ethnic group),Q code group Ethnicity - Other Asian
3.1872E+15,Andamanese (ethnic group),Q code group Ethnicity - Other Asian
286020010,Asian - ethnic group (ethnic group),Q code group Ethnicity - Other Asian
1.96817E+15,Asian or Asian British: any other Asian background - England and Wales ethnic category 2011 census (finding),Q code group Ethnicity - Other Asian
1.96834E+15,Asian or Asian British: any other Asian background - Northern Ireland ethnic category 2011 census (finding),Q code group Ethnicity - Other Asian
1.96852E+15,Asian or Asian Scottish or Asian British: any other Asian group - Scotland ethnic category 2011 census (finding),Q code group Ethnicity - Other Asian
3.25483E+15,Badagas (ethnic group),Q code group Ethnicity - Other Asian
7.59022E+15,Bajau (ethnic group),Q code group Ethnicity - Other Asian
1.56436E+15,Bhutanese (ethnic group),Q code group Ethnicity - Other Asian
2.54445E+15,Bhutanese (ethnic group),Q code group Ethnicity - Other Asian
7.59023E+15,Bidayuh (ethnic group),Q code group Ethnicity - Other Asian
3.28759E+15,Bogobos (ethnic group),Q code group Ethnicity - Other Asian
1.41561E+14,British Asian - ethnic category 2001 census (finding),Q code group Ethnicity - Other Asian
3.26394E+15,Bruneians (ethnic group),Q code group Ethnicity - Other Asian
3.14615E+15,Buriats (ethnic group),Q code group Ethnicity - Other Asian
1.41571E+14,Caribbean Asian - ethnic category 2001 census (finding),Q code group Ethnicity - Other Asian
3.43285E+15,Chenchu (ethnic group),Q code group Ethnicity - Other Asian
3.02377E+15,Dyaks (ethnic group),Q code group Ethnicity - Other Asian
405069018,E Afric Asian/Indo-Carib (NMO) (ethnic group),Q code group Ethnicity - Other Asian
411583012,East African Asian (NMO) (ethnic group),Q code group Ethnicity - Other Asian
1.41541E+14,East African Asian - ethnic category 2001 census (finding),Q code group Ethnicity - Other Asian
3.74849E+15,Filipinos (ethnic group),Q code group Ethnicity - Other Asian
3.96867E+15,Ghashgai (ethnic group),Q code group Ethnicity - Other Asian
7.59024E+15,Iban (ethnic group),Q code group Ethnicity - Other Asian
411584018,Indo-Caribbean (NMO) (ethnic group),Q code group Ethnicity - Other Asian
2.84997E+15,Indonesians (ethnic group),Q code group Ethnicity - Other Asian
3.86558E+15,Irula (ethnic group),Q code group Ethnicity - Other Asian
1.56501E+15,Japanese (ethnic group),Q code group Ethnicity - Other Asian
1.96661E+14,Japanese (ethnic group),Q code group Ethnicity - Other Asian
2.82501E+15,Javanese (ethnic group),Q code group Ethnicity - Other Asian
7.59019E+15,Kadazan (ethnic group),Q code group Ethnicity - Other Asian
1.41531E+14,Kashmiri - ethnic category 2001 census (finding),Q code group Ethnicity - Other Asian
3.36262E+15,Kirghiz (ethnic group),Q code group Ethnicity - Other Asian
1.96671E+14,Koreans (ethnic group),Q code group Ethnicity - Other Asian
3.59201E+15,Lapps (ethnic group),Q code group Ethnicity - Other Asian
2.51984E+15,Malays (ethnic group),Q code group Ethnicity - Other Asian
2.5674E+15,Marathas (ethnic group),Q code group Ethnicity - Other Asian
7.5902E+15,Melanau (ethnic group),Q code group Ethnicity - Other Asian
1.41511E+14,Mixed Asian - ethnic category 2001 census (finding),Q code group Ethnicity - Other Asian
2.89624E+15,Mongol (ethnic group),Q code group Ethnicity - Other Asian
7.59021E+15,Murut (ethnic group),Q code group Ethnicity - Other Asian
3.83092E+15,Naiars (ethnic group),Q code group Ethnicity - Other Asian
1.57283E+15,Nepali (ethnic group),Q code group Ethnicity - Other Asian
2.666E+15,Onge (ethnic group),Q code group Ethnicity - Other Asian
7.59018E+15,Orang asli (ethnic group),Q code group Ethnicity - Other Asian
3.98192E+15,Oraons (ethnic group),Q code group Ethnicity - Other Asian
1.96701E+14,Oriental (ethnic group),Q code group Ethnicity - Other Asian
285977016,Other Asian (NMO) (ethnic group),Q code group Ethnicity - Other Asian
1.41381E+14,Other Asian background - ethnic category 2001 census (finding),Q code group Ethnicity - Other Asian
459784018,Other Asian ethnic group (ethnic group),Q code group Ethnicity - Other Asian
9.37651E+14,Other Asian or Asian unspecified - ethnic category 2001 census (finding),Q code group Ethnicity - Other Asian
2.96292E+15,Siamese (ethnic group),Q code group Ethnicity - Other Asian
1.57301E+14,Sinhalese - ethnic category 2001 census (finding),Q code group Ethnicity - Other Asian
286018012,South East Asian (ethnic group),Q code group Ethnicity - Other Asian
1.36081E+14,Sri Lankan - ethnic category 2001 census (finding),Q code group Ethnicity - Other Asian
1.56579E+15,Taiwanese (ethnic group),Q code group Ethnicity - Other Asian
3.53657E+15,Taiwanese (ethnic group),Q code group Ethnicity - Other Asian
1.41551E+14,Tamil - ethnic category 2001 census (finding),Q code group Ethnicity - Other Asian
2.6998E+15,Tamils (ethnic group),Q code group Ethnicity - Other Asian
3.97981E+15,Tatars (ethnic group),Q code group Ethnicity - Other Asian
3.85673E+15,Thais (ethnic group),Q code group Ethnicity - Other Asian
3.82202E+15,Todas (ethnic group),Q code group Ethnicity - Other Asian
3.21635E+15,Turks (ethnic group),Q code group Ethnicity - Other Asian
1.56595E+15,Vietnamese (ethnic group),Q code group Ethnicity - Other Asian
456650013,Vietnamese (ethnic group),Q code group Ethnicity - Other Asian
1.41621E+14,Vietnamese - ethnic category 2001 census (finding),Q code group Ethnicity - Other Asian
