medcodeid,term,condition
2.7391E+15,African American (ethnic group),Q code group Ethnicity - other black
2.73911E+15,African American (ethnic group),Q code group Ethnicity - other black
1.96853E+15,"African: African, African Scottish or African British - Scotland ethnic category 2011 census (finding)",Q code group Ethnicity - other black
1.96854E+15,African: any other African - Scotland ethnic category 2011 census (finding),Q code group Ethnicity - other black
285932018,Black British (ethnic group),Q code group Ethnicity - other black
1.57311E+14,Black British - ethnic category 2001 census (finding),Q code group Ethnicity - other black
285948017,Black Indian sub-continent (ethnic group),Q code group Ethnicity - other black
411577014,Black Indo-Caribbean (ethnic group),Q code group Ethnicity - other black
405065012,Black N African/Arab/Iranian (ethnic group),Q code group Ethnicity - other black
1.96819E+15,Black or African or Caribbean or Black British: Caribbean - England and Wales ethnic category 2011 census (finding),Q code group Ethnicity - other black
1.96836E+15,Black or African or Caribbean or Black British: Caribbean - Northern Ireland ethnic category 2011 census (finding),Q code group Ethnicity - other black
1.9682E+15,Black or African or Caribbean or Black British: other Black or African or Caribbean background - England and Wales ethnic category 2011 census (finding),Q code group Ethnicity - other black
1.96837E+15,Black or African or Caribbean or Black British: other Black or African or Caribbean background - Northern Ireland ethnic category 2011 census (finding),Q code group Ethnicity - other black
285931013,"Black, other, non-mixed origin (ethnic group)",Q code group Ethnicity - other black
285950013,"Black, other, non-mixed origin (ethnic group)",Q code group Ethnicity - other black
1.96856E+15,"Caribbean or Black: Black, Black Scottish or Black British - Scotland ethnic category 2011 census (finding)",Q code group Ethnicity - other black
1.96855E+15,"Caribbean or Black: Caribbean, Caribbean Scottish or Caribbean British - Scotland ethnic category 2011 census (finding)",Q code group Ethnicity - other black
1.58371E+14,Mixed Black - ethnic category 2001 census (finding),Q code group Ethnicity - other black
285971015,Other African countries (NMO) (ethnic group),Q code group Ethnicity - other black
1.58351E+14,Other Black background - ethnic category 2001 census (finding),Q code group Ethnicity - other black
9.37731E+14,Other Black or Black unspecified - ethnic category 2001 census (finding),Q code group Ethnicity - other black
459782019,Other black ethnic group (ethnic group),Q code group Ethnicity - other black
