medcodeid,term,condition
2.91202E+15,Admiralty Islanders (ethnic group),Q code group Ethnicity - Other ethnic group
3.94702E+15,Alacaluf (ethnic group),Q code group Ethnicity - Other ethnic group
2.83471E+15,Aleuts (ethnic group),Q code group Ethnicity - Other ethnic group
1.42901E+14,Any other group - ethnic category 2001 census (finding),Q code group Ethnicity - Other ethnic group
3.70787E+15,Apache (ethnic group),Q code group Ethnicity - Other ethnic group
1.38251E+14,Arab - ethnic category 2001 census (finding),Q code group Ethnicity - Other ethnic group
1.96621E+14,Arabs (ethnic group),Q code group Ethnicity - Other ethnic group
3.76103E+15,Atacamenos (ethnic group),Q code group Ethnicity - Other ethnic group
3.11415E+15,Athabascans (ethnic group),Q code group Ethnicity - Other ethnic group
3.20228E+15,Australian Aborigines (ethnic group),Q code group Ethnicity - Other ethnic group
4.2187E+15,Aymara (ethnic group),Q code group Ethnicity - Other ethnic group
3.6051E+15,Aztec (ethnic group),Q code group Ethnicity - Other ethnic group
3.56956E+15,Blackfeet (ethnic group),Q code group Ethnicity - Other ethnic group
3.02938E+15,Bloods (ethnic group),Q code group Ethnicity - Other ethnic group
3.12369E+15,Bororo (ethnic group),Q code group Ethnicity - Other ethnic group
3.67656E+15,Brazilian Indians (ethnic group),Q code group Ethnicity - Other ethnic group
285959014,British ethnic minority specified (NMO) (ethnic group),Q code group Ethnicity - Other ethnic group
4.74024E+15,British ethnic minority specified (NMO) (ethnic group),Q code group Ethnicity - Other ethnic group
285960016,British ethnic minority unspecified (NMO) (ethnic group),Q code group Ethnicity - Other ethnic group
4.74026E+15,British ethnic minority unspecified (NMO) (ethnic group),Q code group Ethnicity - Other ethnic group
2.61569E+15,Bulgarian Roma (ethnic group),Q code group Ethnicity - Other ethnic group
3.69537E+15,Caingang (ethnic group),Q code group Ethnicity - Other ethnic group
3.17339E+15,Caroline Islanders (ethnic group),Q code group Ethnicity - Other ethnic group
3.67036E+15,Chippewa (ethnic group),Q code group Ethnicity - Other ethnic group
2.60145E+15,Choco (ethnic group),Q code group Ethnicity - Other ethnic group
286013015,Cook Island Mï¿½?ori (ethnic group),Q code group Ethnicity - Other ethnic group
4.21871E+15,Coushatta (ethnic group),Q code group Ethnicity - Other ethnic group
3.19402E+15,Cuna (ethnic group),Q code group Ethnicity - Other ethnic group
2.61546E+15,Czech Roma (ethnic group),Q code group Ethnicity - Other ethnic group
3.2066E+15,Dieguenos (ethnic group),Q code group Ethnicity - Other ethnic group
2.96331E+15,Easter Islanders (ethnic group),Q code group Ethnicity - Other ethnic group
2.52936E+15,Egyptians (ethnic group),Q code group Ethnicity - Other ethnic group
