medcodeid,term,condition
1.58361E+14,Asian and Chinese - ethnic category 2001 census (finding),Q code group Ethnicity - other mixed
285951012,"Black - other, mixed (ethnic group)",Q code group Ethnicity - other mixed
411574019,Black Arab (ethnic group),Q code group Ethnicity - other mixed
411576017,Black East African Asian (ethnic group),Q code group Ethnicity - other mixed
411575018,Black Iranian (ethnic group),Q code group Ethnicity - other mixed
1.41471E+14,Black and Asian - ethnic category 2001 census (finding),Q code group Ethnicity - other mixed
1.41481E+14,Black and Chinese - ethnic category 2001 census (finding),Q code group Ethnicity - other mixed
1.57291E+14,Black and White - ethnic category 2001 census (finding),Q code group Ethnicity - other mixed
1.96812E+15,Mixed multiple ethnic groups: any other Mixed or multiple ethnic background - England and Wales ethnic category 2011 census (finding),Q code group Ethnicity - other mixed
1.96829E+15,Mixed multiple ethnic groups: any other Mixed or multiple ethnic background - Northern Ireland ethnic category 2011 census (finding),Q code group Ethnicity - other mixed
1.96847E+15,Mixed or multiple ethnic groups: any Mixed or multiple ethnic group - Scotland ethnic category 2011 census (finding),Q code group Ethnicity - other mixed
285953010,Other Black - Black/Asian orig (ethnic group),Q code group Ethnicity - other mixed
285952017,Other Black - Black/White orig (ethnic group),Q code group Ethnicity - other mixed
1.41351E+14,Other Mixed background - ethnic category 2001 census (finding),Q code group Ethnicity - other mixed
9.37511E+14,Other Mixed or Mixed unspecified - ethnic category 2001 census (finding),Q code group Ethnicity - other mixed
285990011,"Other ethnic, Black/White origin (ethnic group)",Q code group Ethnicity - other mixed
4.74034E+15,"Other ethnic, Black/White origin (ethnic group)",Q code group Ethnicity - other mixed
285989019,"Other ethnic, mixed origin (ethnic group)",Q code group Ethnicity - other mixed
285992015,"Other ethnic, mixed white origin (ethnic group)",Q code group Ethnicity - other mixed
4.74038E+15,"Other ethnic, mixed white origin (ethnic group)",Q code group Ethnicity - other mixed
285993013,"Other ethnic, other mixed origin (ethnic group)",Q code group Ethnicity - other mixed
4.7404E+15,"Other ethnic, other mixed origin (ethnic group)",Q code group Ethnicity - other mixed
1.42791E+14,Other mixed White - ethnic category 2001 census (finding),Q code group Ethnicity - other mixed
