medcodeid,term,condition
1.38231E+14,Albanian - ethnic category 2001 census (finding),Q code group Ethnicity - Other white background
3.58802E+15,Amerind (ethnic group),Q code group Ethnicity - Other white background
4.21869E+15,Armenians (ethnic group),Q code group Ethnicity - Other white background
3.61445E+15,Austrians (ethnic group),Q code group Ethnicity - Other white background
9.37301E+14,Baltic States (Estonian or Latvian or Lithuanian) - ethnic category 2001 census (finding),Q code group Ethnicity - Other white background
3.23354E+15,Basques (ethnic group),Q code group Ethnicity - Other white background
3.41087E+15,Belgians (ethnic group),Q code group Ethnicity - Other white background
1.42751E+14,Bosnian - ethnic category 2001 census (finding),Q code group Ethnicity - Other white background
1.1583E+15,Bulgarian (ethnic group),Q code group Ethnicity - Other white background
1.56441E+15,Bulgarian (ethnic group),Q code group Ethnicity - Other white background
2.97184E+15,Bulgarian (ethnic group),Q code group Ethnicity - Other white background
1.56447E+15,Canadian (ethnic group),Q code group Ethnicity - Other white background
7.95794E+15,Canadian (ethnic group),Q code group Ethnicity - Other white background
2.72261E+15,Caucasian (ethnic group),Q code group Ethnicity - Other white background
2.72262E+15,Caucasian (ethnic group),Q code group Ethnicity - Other white background
9.37311E+14,Commonwealth of (Russian) Independent States - ethnic category 2001 census (finding),Q code group Ethnicity - Other white background
1.42761E+14,Croatian - ethnic category 2001 census (finding),Q code group Ethnicity - Other white background
1.41661E+14,Cypriot (part not stated) - ethnic category 2001 census (finding),Q code group Ethnicity - Other white background
1.16033E+15,Czech (ethnic group),Q code group Ethnicity - Other white background
1.5646E+15,Czech (ethnic group),Q code group Ethnicity - Other white background
2.72459E+15,Danes (ethnic group),Q code group Ethnicity - Other white background
1.56464E+15,Dutch (ethnic group),Q code group Ethnicity - Other white background
2.65198E+15,Dutch (ethnic group),Q code group Ethnicity - Other white background
2.79479E+15,Estonians (ethnic group),Q code group Ethnicity - Other white background
6.85309E+15,European (ethnic group),Q code group Ethnicity - Other white background
2.66125E+15,Finns (ethnic group),Q code group Ethnicity - Other white background
1.56475E+15,French (ethnic group),Q code group Ethnicity - Other white background
2.80843E+15,French (ethnic group),Q code group Ethnicity - Other white background
3.01609E+15,Georgians (ethnic group),Q code group Ethnicity - Other white background
2.62235E+15,Germans (ethnic group),Q code group Ethnicity - Other white background
411594011,Greek (NMO) (ethnic group),Q code group Ethnicity - Other white background
1.42701E+14,Greek - ethnic category 2001 census (finding),Q code group Ethnicity - Other white background
411595012,Greek Cypriot (NMO) (ethnic group),Q code group Ethnicity - Other white background
1.42711E+14,Greek Cypriot - ethnic category 2001 census (finding),Q code group Ethnicity - Other white background
405070017,Greek/Greek Cypriot (NMO) (ethnic group),Q code group Ethnicity - Other white background
2.52156E+15,Greeks (ethnic group),Q code group Ethnicity - Other white background
