medcodeid,term,condition
125937016,Acute polyarticular juvenile rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
3.73289E+15,Acute polyarticular juvenile rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
4.63281E+14,Adult onset Still's disease (disorder),Q code group Rheumatoid Arthritis
4.63301E+14,Adult onset Still's disease (disorder),Q code group Rheumatoid Arthritis
5.14132E+15,Adult onset Still's disease (disorder),Q code group Rheumatoid Arthritis
6.66527E+15,Cutaneous atrophy due to rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
7.17649E+15,Deformity of foot due to rheumatoid arthritis (finding),Q code group Rheumatoid Arthritis
8.03035E+15,Deformity of hand due to rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
8.03036E+15,Deformity of hand due to rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
3527061011,Deformity of left foot co-occurrent and due to rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
3527712017,Deformity of left hand co-occurrent and due to rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
3527731011,Deformity of right foot co-occurrent and due to rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
3527737010,Deformity of right hand co-occurrent and due to rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
7.14415E+15,Deformity of wrist due to rheumatoid arthritis (finding),Q code group Rheumatoid Arthritis
7.14416E+15,Deformity of wrist due to rheumatoid arthritis (finding),Q code group Rheumatoid Arthritis
2.67034E+15,Diffuse interstitial rheumatoid disease of lung (disorder),Q code group Rheumatoid Arthritis
311496011,Diffuse interstitial rheumatoid disease of lung (disorder),Q code group Rheumatoid Arthritis
2.8407E+15,Dilated cardiomyopathy due to rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
3.35376E+15,Extra-articular rheumatoid process (disorder),Q code group Rheumatoid Arthritis
3.42889E+15,Felty's syndrome (disorder),Q code group Rheumatoid Arthritis
3.4289E+15,Felty's syndrome (disorder),Q code group Rheumatoid Arthritis
3.42891E+15,Felty's syndrome (disorder),Q code group Rheumatoid Arthritis
95067016,Felty's syndrome (disorder),Q code group Rheumatoid Arthritis
309816012,Flare of rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
251794010,History of rheumatoid arthritis (situation),Q code group Rheumatoid Arthritis
4.54133E+15,History of rheumatoid arthritis (situation),Q code group Rheumatoid Arthritis
2472447010,Juvenile rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
309828016,Juvenile rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
6.80258E+15,Juvenile rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
7.55441E+14,Juvenile rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
309827014,Monarticular juvenile rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
4.80934E+15,Monarticular juvenile rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
297641010,Myopathy due to rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
5.14169E+15,Nailfold rheumatoid vasculitis (disorder),Q code group Rheumatoid Arthritis
123542016,Pauciarticular juvenile rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
3.70925E+15,Pauciarticular juvenile rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
3.70926E+15,Pauciarticular juvenile rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
3.70927E+15,Pauciarticular juvenile rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
502690012,Pauciarticular juvenile rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
297544012,Polyneuropathy in rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
116082011,Rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
1.68751E+14,Rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
312520011,Rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
3.63651E+15,Rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
3.63652E+15,Rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
3.63653E+15,Rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
3.63654E+15,Rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
3.63655E+15,Rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
3.63656E+15,Rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
3.63657E+15,Rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
8.89731E+14,Rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
8.89741E+14,Rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
8.89751E+14,Rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
8.89761E+14,Rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
8.89771E+14,Rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
8.89781E+14,Rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
8.89791E+14,Rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
8.89801E+14,Rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
8.89811E+14,Rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
8.89821E+14,Rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
309791014,Rheumatoid arthritis of acromioclavicular joint (disorder),Q code group Rheumatoid Arthritis
309802019,Rheumatoid arthritis of ankle (disorder),Q code group Rheumatoid Arthritis
9.89331E+14,Rheumatoid arthritis of ankle (disorder),Q code group Rheumatoid Arthritis
5.72148E+15,Rheumatoid arthritis of ankle and/or foot (disorder),Q code group Rheumatoid Arthritis
5.72149E+15,Rheumatoid arthritis of ankle and/or foot (disorder),Q code group Rheumatoid Arthritis
5.7215E+15,Rheumatoid arthritis of ankle and/or foot (disorder),Q code group Rheumatoid Arthritis
309787016,Rheumatoid arthritis of cervical spine (disorder),Q code group Rheumatoid Arthritis
1.62041E+14,Rheumatoid arthritis of distal interphalangeal joint of finger (disorder),Q code group Rheumatoid Arthritis
1.62051E+14,Rheumatoid arthritis of distal radioulnar joint (disorder),Q code group Rheumatoid Arthritis
4.8091E+15,Rheumatoid arthritis of distal radioulnar joint (disorder),Q code group Rheumatoid Arthritis
309792019,Rheumatoid arthritis of elbow (disorder),Q code group Rheumatoid Arthritis
1.68761E+14,Rheumatoid arthritis of first metatarsophalangeal joint (disorder),Q code group Rheumatoid Arthritis
4.80922E+15,Rheumatoid arthritis of first metatarsophalangeal joint (disorder),Q code group Rheumatoid Arthritis
309805017,Rheumatoid arthritis of foot (disorder),Q code group Rheumatoid Arthritis
7.09964E+15,Rheumatoid arthritis of foot (disorder),Q code group Rheumatoid Arthritis
5.72145E+15,Rheumatoid arthritis of hand joint (disorder),Q code group Rheumatoid Arthritis
5.72146E+15,Rheumatoid arthritis of hand joint (disorder),Q code group Rheumatoid Arthritis
5.72147E+15,Rheumatoid arthritis of hand joint (disorder),Q code group Rheumatoid Arthritis
309798015,Rheumatoid arthritis of hip (disorder),Q code group Rheumatoid Arthritis
9.89311E+14,Rheumatoid arthritis of hip (disorder),Q code group Rheumatoid Arthritis
1.62081E+14,Rheumatoid arthritis of interphalangeal joint of toe (disorder),Q code group Rheumatoid Arthritis
309800010,Rheumatoid arthritis of knee (disorder),Q code group Rheumatoid Arthritis
9.89321E+14,Rheumatoid arthritis of knee (disorder),Q code group Rheumatoid Arthritis
3528259014,Rheumatoid arthritis of left hand (disorder),Q code group Rheumatoid Arthritis
3528264013,Rheumatoid arthritis of left hip (disorder),Q code group Rheumatoid Arthritis
8.44718E+15,Rheumatoid arthritis of left knee (disorder),Q code group Rheumatoid Arthritis
1.21141E+16,Rheumatoid arthritis of left shoulder (disorder),Q code group Rheumatoid Arthritis
1.62101E+14,Rheumatoid arthritis of lesser metatarsophalangeal joint (disorder),Q code group Rheumatoid Arthritis
1.62111E+14,Rheumatoid arthritis of metacarpophalangeal joint (disorder),Q code group Rheumatoid Arthritis
9.89301E+14,Rheumatoid arthritis of metacarpophalangeal joint (disorder),Q code group Rheumatoid Arthritis
426510015,Rheumatoid arthritis of multiple joints (disorder),Q code group Rheumatoid Arthritis
5.72143E+15,Rheumatoid arthritis of multiple joints (disorder),Q code group Rheumatoid Arthritis
1.62131E+14,Rheumatoid arthritis of proximal interphalangeal joint of finger (disorder),Q code group Rheumatoid Arthritis
3528262012,Rheumatoid arthritis of right hand (disorder),Q code group Rheumatoid Arthritis
3528266010,Rheumatoid arthritis of right hip (disorder),Q code group Rheumatoid Arthritis
8.44728E+15,Rheumatoid arthritis of right knee (disorder),Q code group Rheumatoid Arthritis
1.21141E+16,Rheumatoid arthritis of right shoulder (disorder),Q code group Rheumatoid Arthritis
1.62141E+14,Rheumatoid arthritis of sacroiliac joint (disorder),Q code group Rheumatoid Arthritis
309789018,Rheumatoid arthritis of shoulder (disorder),Q code group Rheumatoid Arthritis
309790010,Rheumatoid arthritis of sternoclavicular joint (disorder),Q code group Rheumatoid Arthritis
309803012,Rheumatoid arthritis of subtalar joint (disorder),Q code group Rheumatoid Arthritis
309804018,Rheumatoid arthritis of talonavicular joint (disorder),Q code group Rheumatoid Arthritis
7.0785E+15,Rheumatoid arthritis of temporomandibular joint (disorder),Q code group Rheumatoid Arthritis
1.62191E+14,Rheumatoid arthritis of tibiofibular joint (disorder),Q code group Rheumatoid Arthritis
4.80918E+15,Rheumatoid arthritis of tibiofibular joint (disorder),Q code group Rheumatoid Arthritis
309794018,Rheumatoid arthritis of wrist (disorder),Q code group Rheumatoid Arthritis
9.89291E+14,Rheumatoid arthritis of wrist (disorder),Q code group Rheumatoid Arthritis
3.12567E+15,Rheumatoid arthritis with aortitis (disorder),Q code group Rheumatoid Arthritis
6.63162E+15,Rheumatoid arthritis with arteritis (disorder),Q code group Rheumatoid Arthritis
48361011,Rheumatoid arthritis with carditis (disorder),Q code group Rheumatoid Arthritis
3.76149E+15,Rheumatoid arthritis with episcleritis (disorder),Q code group Rheumatoid Arthritis
3514955016,Rheumatoid arthritis with erosion of joint (disorder),Q code group Rheumatoid Arthritis
3514956015,Rheumatoid arthritis with erosion of joint (disorder),Q code group Rheumatoid Arthritis
3.39041E+15,Rheumatoid arthritis with fibrosing alveolitis (disorder),Q code group Rheumatoid Arthritis
5.13935E+15,Rheumatoid arthritis with multisystem involvement (disorder),Q code group Rheumatoid Arthritis
6.66529E+15,Rheumatoid arthritis with nailfold and finger-pulp infarcts (disorder),Q code group Rheumatoid Arthritis
6.6653E+15,Rheumatoid arthritis with nailfold and finger-pulp infarcts (disorder),Q code group Rheumatoid Arthritis
5.14171E+15,Rheumatoid arthritis with necrotizing vasculitis (disorder),Q code group Rheumatoid Arthritis
5.14172E+15,Rheumatoid arthritis with necrotizing vasculitis (disorder),Q code group Rheumatoid Arthritis
6.66528E+15,Rheumatoid arthritis with neutrophilic dermatitis (disorder),Q code group Rheumatoid Arthritis
1.62231E+14,Rheumatoid arthritis with organ / system involvement (disorder),Q code group Rheumatoid Arthritis
1.6911E+13,Rheumatoid arthritis with organ / system involvement (disorder),Q code group Rheumatoid Arthritis
4.24981E+14,Rheumatoid arthritis with organ / system involvement (disorder),Q code group Rheumatoid Arthritis
4.42766E+15,Rheumatoid arthritis with osteoperiostitis (disorder),Q code group Rheumatoid Arthritis
4.42767E+15,Rheumatoid arthritis with osteoperiostitis (disorder),Q code group Rheumatoid Arthritis
1.18262E+16,Rheumatoid arthritis with pericarditis (disorder),Q code group Rheumatoid Arthritis
2.62095E+15,Rheumatoid arthritis with pericarditis (disorder),Q code group Rheumatoid Arthritis
1786505011,Rheumatoid arthritis with pneumoconiosis (disorder),Q code group Rheumatoid Arthritis
6.60877E+15,Rheumatoid arthritis with pneumoconiosis (disorder),Q code group Rheumatoid Arthritis
6.60878E+15,Rheumatoid arthritis with pneumoconiosis (disorder),Q code group Rheumatoid Arthritis
6.60879E+15,Rheumatoid arthritis with pneumoconiosis (disorder),Q code group Rheumatoid Arthritis
3.46105E+15,Rheumatoid arthritis with scleritis (disorder),Q code group Rheumatoid Arthritis
