medcodeid,term,condition
6.04631E+15,24 hour systolic blood pressure (observable entity),Q code group systolic blood pressure
2.79169E+15,Abnormal systolic arterial pressure (finding),Q code group systolic blood pressure
2.7917E+15,Abnormal systolic arterial pressure (finding),Q code group systolic blood pressure
2.98281E+14,Ambulatory systolic blood pressure (observable entity),Q code group systolic blood pressure
8.05797E+15,Ambulatory systolic blood pressure (observable entity),Q code group systolic blood pressure
458812014,Average 24 hour systolic blood pressure (observable entity),Q code group systolic blood pressure
458809011,Average day interval systolic blood pressure (observable entity),Q code group systolic blood pressure
2533615017,Average home systolic blood pressure (observable entity),Q code group systolic blood pressure
458803012,Average systolic blood pressure (observable entity),Q code group systolic blood pressure
1.19034E+16,On examination - Systolic blood pressure reading (finding),Q code group systolic blood pressure
4.55659E+15,On examination - Systolic blood pressure reading (finding),Q code group systolic blood pressure
4.5566E+15,On examination - Systolic blood pressure reading (finding),Q code group systolic blood pressure
2159155011,Sitting systolic blood pressure (observable entity),Q code group systolic blood pressure
1.14311E+14,Systolic arterial pressure (observable entity),Q code group systolic blood pressure
3.67626E+15,Systolic arterial pressure (observable entity),Q code group systolic blood pressure
3.67627E+15,Systolic arterial pressure (observable entity),Q code group systolic blood pressure
5.52719E+15,Systolic blood pressure (observable entity),Q code group systolic blood pressure
5.5272E+15,Systolic blood pressure (observable entity),Q code group systolic blood pressure
