medcodeid,term,condition
294751010,Acute exacerbation of chronic catatonic schizophrenia (disorder),Q code group Severe mental illness
4.76375E+15,Acute exacerbation of chronic catatonic schizophrenia (disorder),Q code group Severe mental illness
294739013,Acute exacerbation of chronic hebephrenic schizophrenia (disorder),Q code group Severe mental illness
4.76364E+15,Acute exacerbation of chronic hebephrenic schizophrenia (disorder),Q code group Severe mental illness
4.76366E+15,Acute exacerbation of chronic hebephrenic schizophrenia (disorder),Q code group Severe mental illness
294769018,Acute exacerbation of chronic latent schizophrenia (disorder),Q code group Severe mental illness
294758016,Acute exacerbation of chronic paranoid schizophrenia (disorder),Q code group Severe mental illness
4.76379E+15,Acute exacerbation of chronic paranoid schizophrenia (disorder),Q code group Severe mental illness
4.56731E+14,Acute exacerbation of chronic schizoaffective schizophrenia (disorder),Q code group Severe mental illness
4.76392E+15,Acute exacerbation of chronic schizoaffective schizophrenia (disorder),Q code group Severe mental illness
294731011,Acute exacerbation of chronic schizophrenia (disorder),Q code group Severe mental illness
294750011,Acute exacerbation of subchronic catatonic schizophrenia (disorder),Q code group Severe mental illness
4.76373E+15,Acute exacerbation of subchronic catatonic schizophrenia (disorder),Q code group Severe mental illness
1.2482E+16,Acute exacerbation of subchronic hebephrenic schizophrenia (disorder),Q code group Severe mental illness
4.76361E+15,Acute exacerbation of subchronic hebephrenic schizophrenia (disorder),Q code group Severe mental illness
4.76363E+15,Acute exacerbation of subchronic hebephrenic schizophrenia (disorder),Q code group Severe mental illness
294768014,Acute exacerbation of subchronic latent schizophrenia (disorder),Q code group Severe mental illness
294757014,Acute exacerbation of subchronic paranoid schizophrenia (disorder),Q code group Severe mental illness
4.76377E+15,Acute exacerbation of subchronic paranoid schizophrenia (disorder),Q code group Severe mental illness
4.56801E+14,Acute exacerbation of subchronic schizoaffective schizophrenia (disorder),Q code group Severe mental illness
4.76391E+15,Acute exacerbation of subchronic schizoaffective schizophrenia (disorder),Q code group Severe mental illness
1.2482E+16,Acute exacerbation of subchronic schizophrenia (disorder),Q code group Severe mental illness
294919015,Acute hysterical psychosis (disorder),Q code group Severe mental illness
401770015,Acute paranoid reaction (disorder),Q code group Severe mental illness
3.62381E+14,Acute polymorphic psychotic disorder co-occurrent with symptoms of schizophrenia (disorder),Q code group Severe mental illness
3.67971E+14,Acute polymorphic psychotic disorder co-occurrent with symptoms of schizophrenia (disorder),Q code group Severe mental illness
7.69626E+15,Acute polymorphic psychotic disorder co-occurrent with symptoms of schizophrenia (disorder),Q code group Severe mental illness
3.62391E+14,Acute polymorphic psychotic disorder without symptoms of schizophrenia (disorder),Q code group Severe mental illness
3.62421E+14,Acute schizophrenia-like psychotic disorder (disorder),Q code group Severe mental illness
3.68001E+14,Acute schizophrenia-like psychotic disorder (disorder),Q code group Severe mental illness
3.68011E+14,Acute schizophrenia-like psychotic disorder (disorder),Q code group Severe mental illness
4.03611E+14,Acute schizophrenia-like psychotic disorder (disorder),Q code group Severe mental illness
4.25671E+14,Acute schizophrenia-like psychotic disorder (disorder),Q code group Severe mental illness
401763015,Acute schizophrenic episode (disorder),Q code group Severe mental illness
296083012,Acute transient psychotic disorder (disorder),Q code group Severe mental illness
3.62271E+14,Acute transient psychotic disorder (disorder),Q code group Severe mental illness
3.67991E+14,Acute transient psychotic disorder (disorder),Q code group Severe mental illness
401859016,Acute transient psychotic disorder (disorder),Q code group Severe mental illness
401860014,Acute transient psychotic disorder (disorder),Q code group Severe mental illness
294897018,Affective psychosis (disorder),Q code group Severe mental illness
294898011,Affective psychosis (disorder),Q code group Severe mental illness
294902017,Affective psychosis (disorder),Q code group Severe mental illness
294893019,Atypical manic disorder (disorder),Q code group Severe mental illness
1.78585E+15,Bipolar I disorder (disorder),Q code group Severe mental illness
6.35757E+15,Bipolar I disorder (disorder),Q code group Severe mental illness
2.9818E+15,"Bipolar I disorder, most recent episode depressed with atypical features (disorder)",Q code group Severe mental illness
2.84834E+15,"Bipolar I disorder, most recent episode depressed with catatonic features (disorder)",Q code group Severe mental illness
3.73166E+15,"Bipolar I disorder, most recent episode depressed with melancholic features (disorder)",Q code group Severe mental illness
3.91786E+15,"Bipolar I disorder, most recent episode depressed with postpartum onset (disorder)",Q code group Severe mental illness
1.20593E+16,"Bipolar I disorder, most recent episode depression (disorder)",Q code group Severe mental illness
3.00667E+15,"Bipolar I disorder, most recent episode hypomanic (disorder)",Q code group Severe mental illness
3.67111E+14,"Bipolar I disorder, most recent episode hypomanic (disorder)",Q code group Severe mental illness
1.20592E+16,"Bipolar I disorder, most recent episode manic (disorder)",Q code group Severe mental illness
2.78205E+15,"Bipolar I disorder, most recent episode manic with catatonic features (disorder)",Q code group Severe mental illness
3.4015E+15,"Bipolar I disorder, most recent episode manic with postpartum onset (disorder)",Q code group Severe mental illness
3.69465E+15,"Bipolar I disorder, most recent episode mixed with catatonic features (disorder)",Q code group Severe mental illness
3.55775E+15,"Bipolar I disorder, most recent episode mixed with postpartum onset (disorder)",Q code group Severe mental illness
2.64898E+15,"Bipolar I disorder, single manic episode (disorder)",Q code group Severe mental illness
2.64899E+15,"Bipolar I disorder, single manic episode (disorder)",Q code group Severe mental illness
3.92916E+15,"Bipolar I disorder, single manic episode with catatonic features (disorder)",Q code group Severe mental illness
2.52228E+15,"Bipolar I disorder, single manic episode with postpartum onset (disorder)",Q code group Severe mental illness
2.55523E+15,"Bipolar I disorder, single manic episode, in full remission (disorder)",Q code group Severe mental illness
2.55524E+15,"Bipolar I disorder, single manic episode, in full remission (disorder)",Q code group Severe mental illness
3.7731E+15,"Bipolar I disorder, single manic episode, in partial remission (disorder)",Q code group Severe mental illness
3.77311E+15,"Bipolar I disorder, single manic episode, in partial remission (disorder)",Q code group Severe mental illness
3.72543E+15,"Bipolar I disorder, single manic episode, in remission (disorder)",Q code group Severe mental illness
3.72544E+15,"Bipolar I disorder, single manic episode, in remission (disorder)",Q code group Severe mental illness
1.78586E+15,Bipolar II disorder (disorder),Q code group Severe mental illness
1.78587E+15,Bipolar II disorder (disorder),Q code group Severe mental illness
3.67161E+14,Bipolar II disorder (disorder),Q code group Severe mental illness
3.8544E+15,Bipolar II disorder (disorder),Q code group Severe mental illness
3.29187E+15,"Bipolar II disorder, most recent episode hypomanic (disorder)",Q code group Severe mental illness
2.75834E+15,"Bipolar II disorder, most recent episode major depressive (disorder)",Q code group Severe mental illness
3.20166E+15,"Bipolar II disorder, most recent episode major depressive with atypical features (disorder)",Q code group Severe mental illness
2.85708E+15,"Bipolar II disorder, most recent episode major depressive with catatonic features (disorder)",Q code group Severe mental illness
3.05257E+15,"Bipolar II disorder, most recent episode major depressive with melancholic features (disorder)",Q code group Severe mental illness
2.99463E+15,"Bipolar II disorder, most recent episode major depressive with postpartum onset (disorder)",Q code group Severe mental illness
8.01969E+15,"Bipolar II disorder, most recent episode rapid cycling (disorder)",Q code group Severe mental illness
8.0197E+15,"Bipolar II disorder, most recent episode rapid cycling (disorder)",Q code group Severe mental illness
294860011,"Bipolar affective disorder, current episode depression (disorder)",Q code group Severe mental illness
294861010,"Bipolar affective disorder, current episode depression (disorder)",Q code group Severe mental illness
294868016,"Bipolar affective disorder, current episode depression (disorder)",Q code group Severe mental illness
