medcodeid,term,condition
1.24823E+16,Admitted tobacco consumption possibly untrue (finding),Q code group Light smoker < 10/day or amount not specified
250369017,Admitted tobacco consumption possibly untrue (finding),Q code group Light smoker < 10/day or amount not specified
4.53353E+15,Admitted tobacco consumption possibly untrue (finding),Q code group Light smoker < 10/day or amount not specified
5.00319E+15,Chain smoker (finding),Q code group Light smoker < 10/day or amount not specified
344794017,Cigar consumption (observable entity),Q code group Light smoker < 10/day or amount not specified
99639019,Cigar smoker (finding),Q code group Light smoker < 10/day or amount not specified
344793011,Cigarette consumption (observable entity),Q code group Light smoker < 10/day or amount not specified
108938018,Cigarette smoker (finding),Q code group Light smoker < 10/day or amount not specified
8.54021E+14,Cigarette smoker (finding),Q code group Light smoker < 10/day or amount not specified
1.59261E+15,Failed attempt to stop smoking (finding),Q code group Light smoker < 10/day or amount not specified
250368013,Keeps trying to stop smoking (finding),Q code group Light smoker < 10/day or amount not specified
7.43331E+14,Light cigarette smoker (1-9 cigs/day) (finding),Q code group Light smoker < 10/day or amount not specified
5.00315E+15,Light cigarette smoker (finding),Q code group Light smoker < 10/day or amount not specified
2474719011,Minutes from waking to first tobacco consumption (observable entity),Q code group Light smoker < 10/day or amount not specified
1488578010,Not interested in stopping smoking (finding),Q code group Light smoker < 10/day or amount not specified
9.03981E+14,Not interested in stopping smoking (finding),Q code group Light smoker < 10/day or amount not specified
1.1905E+16,Occasional cigarette smoker (finding),Q code group Light smoker < 10/day or amount not specified
5.00314E+15,Occasional cigarette smoker (finding),Q code group Light smoker < 10/day or amount not specified
397733018,Occasional tobacco smoker (finding),Q code group Light smoker < 10/day or amount not specified
8.15337E+15,Occasional tobacco smoker (finding),Q code group Light smoker < 10/day or amount not specified
8.15338E+15,Occasional tobacco smoker (finding),Q code group Light smoker < 10/day or amount not specified
136515019,Pipe smoker (finding),Q code group Light smoker < 10/day or amount not specified
344795016,Pipe tobacco consumption (observable entity),Q code group Light smoker < 10/day or amount not specified
1488577017,Ready to stop smoking (finding),Q code group Light smoker < 10/day or amount not specified
9.04001E+14,Ready to stop smoking (finding),Q code group Light smoker < 10/day or amount not specified
1780360012,Reason for restarting smoking (observable entity),Q code group Light smoker < 10/day or amount not specified
250375014,Rolls own cigarettes (finding),Q code group Light smoker < 10/day or amount not specified
8.52981E+14,Rolls own cigarettes (finding),Q code group Light smoker < 10/day or amount not specified
128130017,Smoker (finding),Q code group Light smoker < 10/day or amount not specified
503483019,Smoker (finding),Q code group Light smoker < 10/day or amount not specified
8.54071E+14,Smoker (finding),Q code group Light smoker < 10/day or amount not specified
4.94853E+15,Smokes in bed (finding),Q code group Light smoker < 10/day or amount not specified
7.37599E+15,Smokes tobacco daily (finding),Q code group Light smoker < 10/day or amount not specified
216212011,Smoking reduced (finding),Q code group Light smoker < 10/day or amount not specified
1.37791E+14,Smoking restarted (finding),Q code group Light smoker < 10/day or amount not specified
2670126018,Smoking restarted (finding),Q code group Light smoker < 10/day or amount not specified
2669652019,Smoking started (finding),Q code group Light smoker < 10/day or amount not specified
1488576014,Thinking about stopping smoking (finding),Q code group Light smoker < 10/day or amount not specified
9.04031E+14,Thinking about stopping smoking (finding),Q code group Light smoker < 10/day or amount not specified
1.02921E+14,Tobacco smoking consumption (observable entity),Q code group Light smoker < 10/day or amount not specified
1.37721E+14,Tobacco smoking consumption (observable entity),Q code group Light smoker < 10/day or amount not specified
250387019,Tobacco smoking consumption (observable entity),Q code group Light smoker < 10/day or amount not specified
5.4959E+15,Tobacco smoking consumption (observable entity),Q code group Light smoker < 10/day or amount not specified
5.49594E+15,Trivial cigarette smoker (less than one cigarette/day) (finding),Q code group Light smoker < 10/day or amount not specified
5.49595E+15,Trivial cigarette smoker (less than one cigarette/day) (finding),Q code group Light smoker < 10/day or amount not specified
8.8471E+13,Trivial cigarette smoker (less than one cigarette/day) (finding),Q code group Light smoker < 10/day or amount not specified
250372012,Trying to give up smoking (finding),Q code group Light smoker < 10/day or amount not specified
1.80912E+15,Waterpipe tobacco consumption (observable entity),Q code group Light smoker < 10/day or amount not specified
2.17096E+15,Waterpipe tobacco consumption (observable entity),Q code group Light smoker < 10/day or amount not specified
