medcodeid,term,condition
459292011,Arthropathy due to type 1 diabetes mellitus (disorder),Q code group Type 1 diabetes 
459294012,Arthropathy due to type 1 diabetes mellitus (disorder),Q code group Type 1 diabetes 
6.05117E+15,Arthropathy due to type 1 diabetes mellitus (disorder),Q code group Type 1 diabetes 
8.4311E+13,Arthropathy due to type 1 diabetes mellitus (disorder),Q code group Type 1 diabetes 
8.4681E+13,Arthropathy due to type 1 diabetes mellitus (disorder),Q code group Type 1 diabetes 
429970018,Brittle type I diabetes mellitus (finding),Q code group Type 1 diabetes 
429971019,Brittle type I diabetes mellitus (finding),Q code group Type 1 diabetes 
5.75458E+15,Brittle type I diabetes mellitus (finding),Q code group Type 1 diabetes 
5.75461E+15,Brittle type I diabetes mellitus (finding),Q code group Type 1 diabetes 
5.75462E+15,Brittle type I diabetes mellitus (finding),Q code group Type 1 diabetes 
7.2711E+13,Brittle type I diabetes mellitus (finding),Q code group Type 1 diabetes 
7.2721E+13,Brittle type I diabetes mellitus (finding),Q code group Type 1 diabetes 
1.23361E+16,Cataract of eye due to diabetes mellitus type 1 (disorder),Q code group Type 1 diabetes 
1.23361E+16,Cataract of eye due to diabetes mellitus type 1 (disorder),Q code group Type 1 diabetes 
1.27024E+16,Cataract of eye due to diabetes mellitus type 1 (disorder),Q code group Type 1 diabetes 
6.98043E+15,Cataract of eye due to diabetes mellitus type 1 (disorder),Q code group Type 1 diabetes 
6.98044E+15,Cataract of eye due to diabetes mellitus type 1 (disorder),Q code group Type 1 diabetes 
8.4321E+13,Cataract of eye due to diabetes mellitus type 1 (disorder),Q code group Type 1 diabetes 
8.4691E+13,Cataract of eye due to diabetes mellitus type 1 (disorder),Q code group Type 1 diabetes 
9.13901E+14,Cataract of eye due to diabetes mellitus type 1 (disorder),Q code group Type 1 diabetes 
9.13911E+14,Cataract of eye due to diabetes mellitus type 1 (disorder),Q code group Type 1 diabetes 
197984010,Diabetes mellitus type 1 (disorder),Q code group Type 1 diabetes 
3.25323E+15,Diabetes mellitus type 1 (disorder),Q code group Type 1 diabetes 
3.25324E+15,Diabetes mellitus type 1 (disorder),Q code group Type 1 diabetes 
494564012,Diabetes mellitus type 1 (disorder),Q code group Type 1 diabetes 
8.4281E+13,Diabetes mellitus type 1 (disorder),Q code group Type 1 diabetes 
8.4651E+13,Diabetes mellitus type 1 (disorder),Q code group Type 1 diabetes 
8.0145E+15,Diabetes mellitus type 1 without retinopathy (disorder),Q code group Type 1 diabetes 
1.3751E+13,Diabetes mellitus with multiple complications (disorder),Q code group Type 1 diabetes 
292565014,Diabetes mellitus with multiple complications (disorder),Q code group Type 1 diabetes 
7.71381E+14,Diabetes mellitus with multiple complications (disorder),Q code group Type 1 diabetes 
9.13531E+14,Diabetes mellitus with multiple complications (disorder),Q code group Type 1 diabetes 
1.19031E+16,Diabetic oculopathy associated with type I diabetes mellitus (disorder),Q code group Type 1 diabetes 
6.96709E+15,Diabetic oculopathy associated with type I diabetes mellitus (disorder),Q code group Type 1 diabetes 
6.16611E+14,Disorder due to type 1 diabetes mellitus (disorder),Q code group Type 1 diabetes 
6.9619E+15,Disorder due to type 1 diabetes mellitus (disorder),Q code group Type 1 diabetes 
1.23703E+16,Disorder of eye due to type 1 diabetes mellitus (disorder),Q code group Type 1 diabetes 
1.23703E+16,Disorder of eye due to type 1 diabetes mellitus (disorder),Q code group Type 1 diabetes 
1.27024E+16,Disorder of eye due to type 1 diabetes mellitus (disorder),Q code group Type 1 diabetes 
3537388019,Disorder of eye due to type 1 diabetes mellitus (disorder),Q code group Type 1 diabetes 
6.16601E+14,Disorder of eye due to type 1 diabetes mellitus (disorder),Q code group Type 1 diabetes 
8.4401E+13,Disorder of eye due to type 1 diabetes mellitus (disorder),Q code group Type 1 diabetes 
8.4771E+13,Disorder of eye due to type 1 diabetes mellitus (disorder),Q code group Type 1 diabetes 
9.13481E+14,Disorder of eye due to type 1 diabetes mellitus (disorder),Q code group Type 1 diabetes 
