prodcodeid,term,condition
1.23126E+16,Alkapamid XL1.5mg tablets (HBS Healthcare Ltd) (product),Q code group 2.2.1       Thiazides And Related Diuretics
7.4541E+13,Aprinox 2.5mg tablets (Sovereign Medical) (product),Q code group 2.2.1       Thiazides And Related Diuretics
7.4641E+13,Aprinox 5mg tablets (Sovereign Medical) (product),Q code group 2.2.1       Thiazides And Related Diuretics
5.45394E+15,Bendroflumethiazide 1.25mg/5ml oral suspension (product),Q code group 2.2.1       Thiazides And Related Diuretics
3.15184E+15,Bendroflumethiazide 2.5mg/5ml oral suspension (product),Q code group 2.2.1       Thiazides And Related Diuretics
5.40174E+15,Bendroflumethiazide 5mg/5ml oral suspension (product),Q code group 2.2.1       Thiazides And Related Diuretics
9.12184E+15,Cardide SR 1.5mg tablets (Teva UK Ltd) (product),Q code group 2.2.1       Thiazides And Related Diuretics
5.89934E+15,Chlorothiazide 150mg/5ml oral suspension (product),Q code group 2.2.1       Thiazides And Related Diuretics
3.92414E+15,Chlorothiazide 200mg/5ml oral suspension (product),Q code group 2.2.1       Thiazides And Related Diuretics
5.99114E+15,Chlorothiazide 250mg/5ml oral solution (product),Q code group 2.2.1       Thiazides And Related Diuretics
5.89944E+15,Chlorothiazide 25mg/5ml oral suspension (product),Q code group 2.2.1       Thiazides And Related Diuretics
4.70741E+14,Diurexan 20mg tablets (Viatris Pharmaceuticals Ltd) (product),Q code group 2.2.1       Thiazides And Related Diuretics
4.57124E+15,Ethibide XL 1.5mg tablets (Genus Pharmaceuticals Ltd) (product),Q code group 2.2.1       Thiazides And Related Diuretics
2.74644E+15,Hydrochlorothiazide 50mg/5ml oral solution (product),Q code group 2.2.1       Thiazides And Related Diuretics
5.96984E+15,Hydrochlorothiazide 5mg/5ml oral solution (product),Q code group 2.2.1       Thiazides And Related Diuretics
5.96994E+15,Hydrochlorothiazide 5mg/5ml oral suspension (product),Q code group 2.2.1       Thiazides And Related Diuretics
7.42541E+14,Hydrosaluric 25mg tablets (Merck Sharp & Dohme Ltd) (product),Q code group 2.2.1       Thiazides And Related Diuretics
7.42641E+14,Hydrosaluric 50mg tablets (Merck Sharp & Dohme Ltd) (product),Q code group 2.2.1       Thiazides And Related Diuretics
7.42841E+14,Hygroton 50mg tablets (Alliance Pharmaceuticals Ltd) (product),Q code group 2.2.1       Thiazides And Related Diuretics
7.65741E+14,Indapamide 1.5mg modified-release tablets (product),Q code group 2.2.1       Thiazides And Related Diuretics
7.68641E+14,Indapamide 2.5mg tablets (product),Q code group 2.2.1       Thiazides And Related Diuretics
8.19704E+15,Indapamide 2.5mg/5ml oral suspension (product),Q code group 2.2.1       Thiazides And Related Diuretics
5.05314E+15,Indipam XL 1.5mg tablets (Actavis UK Ltd) (product),Q code group 2.2.1       Thiazides And Related Diuretics
1.29884E+16,Lorvacs XL1.5mg tablets (Torrent Pharma (UK) Ltd) (product),Q code group 2.2.1       Thiazides And Related Diuretics
5.12874E+15,Mapemid XL 1.5mg tablets (Ratiopharm UK Ltd) (product),Q code group 2.2.1       Thiazides And Related Diuretics
8.96841E+14,Metenix 5 tablets (Borg Medicare Ltd) (product),Q code group 2.2.1       Thiazides And Related Diuretics
9.55341E+14,Natrilix 2.5mg tablets (Servier Laboratories Limited) (product),Q code group 2.2.1       Thiazides And Related Diuretics
9.53141E+14,Natrilix SR 1.5mg tablets (Servier Laboratories Limited) (product),Q code group 2.2.1       Thiazides And Related Diuretics
9.55441E+14,Navidrex 500microgram tablets (Goldshield Healthcare Ltd) (product),Q code group 2.2.1       Thiazides And Related Diuretics
6.04564E+15,Neo-Naclex 2.5mg tablets (Goldshield Pharmaceuticals Ltd) (product),Q code group 2.2.1       Thiazides And Related Diuretics
9.65341E+14,Neo-Naclex 5mg tablets (Goldshield Healthcare Ltd) (product),Q code group 2.2.1       Thiazides And Related Diuretics
9.65441E+14,Nephril 1mg tablets (Pfizer Ltd) (product),Q code group 2.2.1       Thiazides And Related Diuretics
7.69741E+14,Nindaxa 2.5 tablets (Ashbourne Pharmaceuticals Ltd) (product),Q code group 2.2.1       Thiazides And Related Diuretics
5.56604E+15,Rawel XL 1.5mg tablets (Consilient Health Ltd) (product),Q code group 2.2.1       Thiazides And Related Diuretics
4.65674E+15,Tensaid XL 1.5mg tablets (Generics (UK) Ltd) (product),Q code group 2.2.1       Thiazides And Related Diuretics
2.95594E+15,Urizide 2.5mg tablets (Dr Reddy's Labs) (product),Q code group 2.2.1       Thiazides And Related Diuretics
1.49544E+15,Urizide 5mg tablets (Dr Reddy's Labs) (product),Q code group 2.2.1       Thiazides And Related Diuretics
5.81674E+15,Varbim XL 1.5mg tablets (Teva UK Ltd) (product),Q code group 2.2.1       Thiazides And Related Diuretics
8.19654E+15,Zaroxolyn 2.5mg tablets (Imported (Canada)) (product),Q code group 2.2.1       Thiazides And Related Diuretics
8.19664E+15,Zaroxolyn 5mg tablets (Imported (Canada)) (product),Q code group 2.2.1       Thiazides And Related Diuretics
