medcodeid,term,condition
1.41461E+14,Cornish - ethnic category 2001 census (finding),"Q code group Ethnicity - White British (English, Welsh, Scottish, Northern Irish or British)"
1.57281E+14,English - ethnic category 2001 census (finding),"Q code group Ethnicity - White British (English, Welsh, Scottish, Northern Irish or British)"
1.41431E+14,Scottish - ethnic category 2001 census (finding),"Q code group Ethnicity - White British (English, Welsh, Scottish, Northern Irish or British)"
1.42691E+14,Ulster Scots - ethnic category 2001 census (finding),"Q code group Ethnicity - White British (English, Welsh, Scottish, Northern Irish or British)"
1.41441E+14,Welsh - ethnic category 2001 census (finding),"Q code group Ethnicity - White British (English, Welsh, Scottish, Northern Irish or British)"
2.48616E+15,White - Northern Ireland ethnic category 2011 census (finding),"Q code group Ethnicity - White British (English, Welsh, Scottish, Northern Irish or British)"
459726019,White British (ethnic group),"Q code group Ethnicity - White British (English, Welsh, Scottish, Northern Irish or British)"
1.06398E+15,White British - ethnic category 2001 census (finding),"Q code group Ethnicity - White British (English, Welsh, Scottish, Northern Irish or British)"
1780407014,White Scottish (ethnic group),"Q code group Ethnicity - White British (English, Welsh, Scottish, Northern Irish or British)"
1.96805E+15,White: English or Welsh or Scottish or Northern Irish or British - England and Wales ethnic category 2011 census (finding),"Q code group Ethnicity - White British (English, Welsh, Scottish, Northern Irish or British)"
2.48728E+15,White: Scottish - Scotland ethnic category 2011 census (finding),"Q code group Ethnicity - White British (English, Welsh, Scottish, Northern Irish or British)"
2.48732E+15,White: other British - Scotland ethnic category 2011 census (finding),"Q code group Ethnicity - White British (English, Welsh, Scottish, Northern Irish or British)"
