"prodcodeid,""termfromemis"",""productname"",""drugsubstancename"",""bnfchapter"",""dmdid"""
"246241000033116,""Chlorothiazide 250mg/5ml oral suspension"",""Chlorothiazide 250mg/5ml oral suspension"",""Chlorothiazide"",""2020100"",""408039005"""
"395041000033117,""Cyclopenthiazide 500microgram tablets"",""Cyclopenthiazide 500microgram tablets"",""Cyclopenthiazide"",""2020100"",""317940003"""
"744941000033110,""Hydrochlorothiazide 25mg tablets"",""Hydrochlorothiazide 25mg tablets"",""Hydrochlorothiazide"",""2020100"",""376209006"""
"745441000033118,""Hydrochlorothiazide 50mg tablets"",""Hydrochlorothiazide 50mg tablets"",""Hydrochlorothiazide"",""2020100"",""376508004"""
"765741000033116,""Indapamide 1.5mg modified-release tablets"",""Indapamide 1.5mg modified-release tablets"",""Indapamide"",""2020100"",""39020711000001100"""
"768641000033118,""Indapamide 2.5mg tablets"",""Indapamide 2.5mg tablets"",""Indapamide hemihydrate"",""2020100"",""39696211000001108"""
"903541000033116,""Metolazone 5mg tablets"",""Metolazone 5mg tablets"",""Metolazone"",""2020100"",""317965001"""
"1110141000033119,""Polythiazide 1mg tablets"",""Polythiazide 1mg tablets"",""Polythiazide"",""2020100"",""317967009"""
"1543941000033111,""Xipamide 20mg tablets"",""Xipamide 20mg tablets"",""Xipamide"",""2020100"",""317970008"""
"2746441000033111,""Hydrochlorothiazide 50mg/5ml oral solution"",""Hydrochlorothiazide 50mg/5ml oral solution"",""Hydrochlorothiazide"",""2020100"",""8529611000001101"""
"3083141000033112,""Bendroflumethiazide 2.5mg tablets"",""Bendroflumethiazide 2.5mg tablets"",""Bendroflumethiazide"",""2020100"",""317919004"""
"3083241000033117,""Bendroflumethiazide 5mg tablets"",""Bendroflumethiazide 5mg tablets"",""Bendroflumethiazide"",""2020100"",""317920005"""
"3086241000033111,""Chlortalidone 50mg tablets"",""Chlortalidone 50mg tablets"",""Chlortalidone"",""2020100"",""317935006"""
"3151841000033117,""Bendroflumethiazide 2.5mg/5ml oral suspension"",""Bendroflumethiazide 2.5mg/5ml oral suspension"",""Bendroflumethiazide"",""2020100"",""8306811000001101"""
"3924141000033111,""Chlorothiazide 200mg/5ml oral suspension"",""Chlorothiazide 200mg/5ml oral suspension"",""Chlorothiazide"",""2020100"",""12502311000001102"""
"5093641000033110,""Chlorothiazide 250mg tablets"",""Chlorothiazide 250mg tablets"",""Chlorothiazide"",""2020100"",""395516007"""
"5401741000033110,""Bendroflumethiazide 5mg/5ml oral suspension"",""Bendroflumethiazide 5mg/5ml oral suspension"",""Bendroflumethiazide"",""2020100"",""8306711000001109"""
"5453941000033119,""Bendroflumethiazide 1.25mg/5ml oral suspension"",""Bendroflumethiazide 1.25mg/5ml oral suspension"",""Bendroflumethiazide"",""2020100"",""8307011000001105"""
"5899341000033118,""Chlorothiazide 150mg/5ml oral suspension"",""Chlorothiazide 150mg/5ml oral suspension"",""Chlorothiazide"",""2020100"",""8358511000001105"""
"5899441000033112,""Chlorothiazide 25mg/5ml oral suspension"",""Chlorothiazide 25mg/5ml oral suspension"",""Chlorothiazide"",""2020100"",""8358711000001100"""
"5969841000033119,""Hydrochlorothiazide 5mg/5ml oral solution"",""Hydrochlorothiazide 5mg/5ml oral solution"",""Hydrochlorothiazide"",""2020100"",""12538711000001107"""
"5969941000033110,""Hydrochlorothiazide 5mg/5ml oral suspension"",""Hydrochlorothiazide 5mg/5ml oral suspension"",""Hydrochlorothiazide"",""2020100"",""12538811000001104"""
"5991141000033110,""Chlorothiazide 250mg/5ml oral solution"",""Chlorothiazide 250mg/5ml oral solution"",""Chlorothiazide"",""2020100"",""12503011000001109"""
"8196441000033118,""Metolazone 2.5mg tablets"",""Metolazone 2.5mg tablets"",""Metolazone"",""2020100"",""374173002"""
"8197041000033112,""Indapamide 2.5mg/5ml oral suspension"",""Indapamide 2.5mg/5ml oral suspension"",""Indapamide"",""2020100"",""21578911000001105"""
"13812841000033111,""Chlortalidone 12.5mg tablets"",""Chlortalidone 12.5mg tablets"",""Chlortalidone"",""2020100"",""39565011000001104"""
"3041000033115,""Acebutolol 100mg capsules"",""Acebutolol 100mg capsules"",""Acebutolol hydrochloride"",""2040000"",""39724211000001101"""
"3141000033116,""Acebutolol 200mg capsules"",""Acebutolol 200mg capsules"",""Acebutolol hydrochloride"",""2040000"",""39725211000001100"""
"10741000033112,""Acebutolol 400mg tablets"",""Acebutolol 400mg tablets"",""Acebutolol hydrochloride"",""2040000"",""39725711000001107"""
"89541000033111,""Atenolol 5mg/10ml solution for injection ampoules"",""Atenolol 5mg/10ml solution for injection ampoules"",""Atenolol"",""2040000"",""35903411000001106"""
"90441000033118,""Atenolol 25mg/5ml oral solution sugar free"",""Atenolol 25mg/5ml oral solution sugar free"",""Atenolol"",""2040000"",""35903211000001107"""
"90641000033116,""Atenolol 25mg tablets"",""Atenolol 25mg tablets"",""Atenolol"",""2040000"",""318434003"""
"91041000033118,""Atenolol 100mg tablets"",""Atenolol 100mg tablets"",""Atenolol"",""2040000"",""318421004"""
"91141000033119,""Atenolol 50mg tablets"",""Atenolol 50mg tablets"",""Atenolol"",""2040000"",""318420003"""
"145541000033111,""Betaxolol 20mg tablets"",""Betaxolol 20mg tablets"",""Betaxolol hydrochloride"",""2040000"",""318443007"""
"151341000033117,""Bisoprolol 5mg tablets"",""Bisoprolol 5mg tablets"",""Bisoprolol fumarate"",""2040000"",""318590006"""
"209941000033111,""Carvedilol 12.5mg tablets"",""Carvedilol 12.5mg tablets"",""Carvedilol"",""2040000"",""318631003"""
"210041000033115,""Carvedilol 25mg tablets"",""Carvedilol 25mg tablets"",""Carvedilol"",""2040000"",""318632005"""
"233341000033116,""Celiprolol 400mg tablets"",""Celiprolol 400mg tablets"",""Celiprolol hydrochloride"",""2040000"",""318622003"""
"236041000033111,""Celiprolol 200mg tablets"",""Celiprolol 200mg tablets"",""Celiprolol hydrochloride"",""2040000"",""318619000"""
"376441000033110,""Co-tenidone 50mg/12.5mg tablets"",""Co-tenidone 50mg/12.5mg tablets"",""Atenolol/ Chlortalidone"",""2040000"",""318575007"""
"376541000033111,""Co-tenidone 100mg/25mg tablets"",""Co-tenidone 100mg/25mg tablets"",""Atenolol/ Chlortalidone"",""2040000"",""377211005"""
"377341000033119,""Co-prenozide 160mg/0.25mg modified-release tablets"",""Co-prenozide 160mg/0.25mg modified-release tablets"",""Cyclopenthiazide/ Oxprenolol hydrochloride"",""2040000"",""36091611000001101"""
"514741000033117,""Bisoprolol 10mg tablets"",""Bisoprolol 10mg tablets"",""Bisoprolol fumarate"",""2040000"",""318591005"""
"811341000033119,""Labetalol 100mg/20ml solution for injection ampoules"",""Labetalol 100mg/20ml solution for injection ampoules"",""Labetalol hydrochloride"",""2040000"",""36037611000001104"""
"814041000033119,""Labetalol 100mg tablets"",""Labetalol 100mg tablets"",""Labetalol hydrochloride"",""2040000"",""318445000"""
"818641000033117,""Labetalol 200mg tablets"",""Labetalol 200mg tablets"",""Labetalol hydrochloride"",""2040000"",""318446004"""
"818741000033114,""Labetalol 400mg tablets"",""Labetalol 400mg tablets"",""Labetalol hydrochloride"",""2040000"",""318447008"""
"818841000033116,""Labetalol 50mg tablets"",""Labetalol 50mg tablets"",""Labetalol hydrochloride"",""2040000"",""318458004"""
"887141000033113,""Metoprolol 5mg/5ml solution for injection ampoules"",""Metoprolol 5mg/5ml solution for injection ampoules"",""Metoprolol tartrate"",""2040000"",""3631211000001109"""
"891641000033111,""Metoprolol 200mg modified-release tablets"",""Metoprolol 200mg modified-release tablets"",""Metoprolol tartrate"",""2040000"",""36035411000001108"""
"897741000033111,""Metoprolol 100mg tablets"",""Metoprolol 100mg tablets"",""Metoprolol tartrate"",""2040000"",""318474009"""
"897841000033118,""Metoprolol 50mg tablets"",""Metoprolol 50mg tablets"",""Metoprolol tartrate"",""2040000"",""318475005"""
"956341000033113,""Nadolol 40mg tablets"",""Nadolol 40mg tablets"",""Nadolol"",""2040000"",""318480001"""
"956541000033118,""Nadolol 80mg tablets"",""Nadolol 80mg tablets"",""Nadolol"",""2040000"",""318481002"""
"1026041000033118,""Oxprenolol 160mg modified-release tablets"",""Oxprenolol 160mg modified-release tablets"",""Oxprenolol hydrochloride"",""2040000"",""36023011000001102"""
"1026141000033119,""Oxprenolol 20mg tablets"",""Oxprenolol 20mg tablets"",""Oxprenolol hydrochloride"",""2040000"",""318483004"""
"1026241000033114,""Oxprenolol 40mg tablets"",""Oxprenolol 40mg tablets"",""Oxprenolol hydrochloride"",""2040000"",""318484005"""
"1026341000033116,""Oxprenolol 80mg tablets"",""Oxprenolol 80mg tablets"",""Oxprenolol hydrochloride"",""2040000"",""318485006"""
"1091141000033117,""Pindolol 15mg tablets"",""Pindolol 15mg tablets"",""Pindolol"",""2040000"",""318513007"""
"1091241000033112,""Pindolol 5mg tablets"",""Pindolol 5mg tablets"",""Pindolol"",""2040000"",""318512002"""
"1119641000033117,""Propranolol 1mg/1ml solution for injection ampoules"",""Propranolol 1mg/1ml solution for injection ampoules"",""Propranolol hydrochloride"",""2040000"",""35932611000001106"""
"1124041000033116,""Propranolol 160mg modified-release capsules"",""Propranolol 160mg modified-release capsules"",""Propranolol hydrochloride"",""2040000"",""38751211000001101"""
"1125341000033118,""Propranolol 10mg/5ml oral solution sugar free"",""Propranolol 10mg/5ml oral solution sugar free"",""Propranolol hydrochloride"",""2040000"",""35932311000001101"""
"1125441000033112,""Propranolol 5mg/5ml oral solution sugar free"",""Propranolol 5mg/5ml oral solution sugar free"",""Propranolol hydrochloride"",""2040000"",""35932811000001105"""
"1125541000033113,""Propranolol 50mg/5ml oral solution sugar free"",""Propranolol 50mg/5ml oral solution sugar free"",""Propranolol hydrochloride"",""2040000"",""35932711000001102"""
"1130041000033112,""Propranolol 80mg modified-release capsules"",""Propranolol 80mg modified-release capsules"",""Propranolol hydrochloride"",""2040000"",""38751111000001107"""
"1135041000033117,""Propranolol 10mg tablets"",""Propranolol 10mg tablets"",""Propranolol hydrochloride"",""2040000"",""318352004"""
"1135141000033118,""Propranolol 160mg tablets"",""Propranolol 160mg tablets"",""Propranolol hydrochloride"",""2040000"",""318355002"""
"1135241000033113,""Propranolol 40mg tablets"",""Propranolol 40mg tablets"",""Propranolol hydrochloride"",""2040000"",""318353009"""
"1135341000033115,""Propranolol 80mg tablets"",""Propranolol 80mg tablets"",""Propranolol hydrochloride"",""2040000"",""318354003"""
"1367141000033113,""Sotalol 160mg tablets"",""Sotalol 160mg tablets"",""Sotalol hydrochloride"",""2040000"",""318528007"""
"1367241000033118,""Sotalol 200mg tablets"",""Sotalol 200mg tablets"",""Sotalol hydrochloride"",""2040000"",""318527002"""
"1367441000033117,""Sotalol 40mg tablets"",""Sotalol 40mg tablets"",""Sotalol hydrochloride"",""2040000"",""318525005"""
"1367541000033116,""Sotalol 80mg tablets"",""Sotalol 80mg tablets"",""Sotalol hydrochloride"",""2040000"",""318526006"""
"1444541000033113,""Timolol 10mg tablets"",""Timolol 10mg tablets"",""Timolol maleate"",""2040000"",""318534000"""
"1581241000033110,""Carvedilol 3.125mg tablets"",""Carvedilol 3.125mg tablets"",""Carvedilol"",""2040000"",""318633000"""
"1581341000033117,""Carvedilol 6.25mg tablets"",""Carvedilol 6.25mg tablets"",""Carvedilol"",""2040000"",""318635007"""
"1750241000033113,""Propranolol 40mg/5ml oral solution"",""Propranolol 40mg/5ml oral solution"",""Propranolol hydrochloride"",""2040000"",""8672711000001106"""
"1796041000033113,""Nebivolol 5mg tablets"",""Nebivolol 5mg tablets"",""Nebivolol hydrochloride"",""2040000"",""39701211000001106"""
"1951641000033111,""Bisoprolol 1.25mg tablets"",""Bisoprolol 1.25mg tablets"",""Bisoprolol fumarate"",""2040000"",""318604001"""
"1951741000033119,""Bisoprolol 2.5mg tablets"",""Bisoprolol 2.5mg tablets"",""Bisoprolol fumarate"",""2040000"",""318605000"""
"1951841000033112,""Bisoprolol 3.75mg tablets"",""Bisoprolol 3.75mg tablets"",""Bisoprolol fumarate"",""2040000"",""318606004"""
"1951941000033116,""Bisoprolol 7.5mg tablets"",""Bisoprolol 7.5mg tablets"",""Bisoprolol fumarate"",""2040000"",""318607008"""
"2616041000033116,""Metoprolol 12.5mg/5ml oral solution"",""Metoprolol 12.5mg/5ml oral solution"",""Metoprolol tartrate"",""2040000"",""8668211000001107"""
"2908541000033114,""Sotalol 40mg/4ml solution for injection ampoules"",""Sotalol 40mg/4ml solution for injection ampoules"",""Sotalol hydrochloride"",""2040000"",""35930811000001109"""
"3161341000033118,""Metoprolol 100mg / Hydrochlorothiazide 12.5mg tablets"",""Metoprolol 100mg / Hydrochlorothiazide 12.5mg tablets"",""Hydrochlorothiazide/ Metoprolol tartrate"",""2040000"",""318546001"""
"3162941000033114,""Acebutolol 200mg / Hydrochlorothiazide 12.5mg tablets"",""Acebutolol 200mg / Hydrochlorothiazide 12.5mg tablets"",""Acebutolol hydrochloride/ Hydrochlorothiazide"",""2040000"",""39725011000001105"""
"3163141000033117,""Pindolol 10mg / Clopamide 5mg tablets"",""Pindolol 10mg / Clopamide 5mg tablets"",""Clopamide/ Pindolol"",""2040000"",""318552000"""
"3246941000033118,""Atenolol 50mg / Nifedipine 20mg modified-release capsules"",""Atenolol 50mg / Nifedipine 20mg modified-release capsules"",""Atenolol/ Nifedipine"",""2040000"",""35903311000001104"""
"3346641000033118,""Timolol 10mg / Bendroflumethiazide 2.5mg tablets"",""Timolol 10mg / Bendroflumethiazide 2.5mg tablets"",""Bendroflumethiazide/ Timolol maleate"",""2040000"",""318556002"""
"3953441000033116,""Sotalol 25mg/5ml oral solution"",""Sotalol 25mg/5ml oral solution"",""Sotalol hydrochloride"",""2040000"",""8726811000001107"""
"4267141000033111,""Bisoprolol 7.5mg/5ml oral suspension"",""Bisoprolol 7.5mg/5ml oral suspension"",""Bisoprolol fumarate"",""2040000"",""14159111000001101"""
"4507941000033117,""Bisoprolol 2.5mg/5ml oral suspension"",""Bisoprolol 2.5mg/5ml oral suspension"",""Bisoprolol fumarate"",""2040000"",""12287611000001100"""
"4815641000033117,""Metoprolol 12.5mg/5ml oral suspension"",""Metoprolol 12.5mg/5ml oral suspension"",""Metoprolol tartrate"",""2040000"",""8668411000001106"""
"4955841000033115,""Propranolol 40mg/5ml oral solution sugar free"",""Propranolol 40mg/5ml oral solution sugar free"",""Propranolol hydrochloride"",""2040000"",""15356211000001102"""
"4957141000033117,""Propranolol 80mg/5ml oral solution"",""Propranolol 80mg/5ml oral solution"",""Propranolol hydrochloride"",""2040000"",""8672911000001108"""
"5288741000033116,""Carvedilol 5mg/5ml oral suspension"",""Carvedilol 5mg/5ml oral suspension"",""Carvedilol"",""2040000"",""8356811000001107"""
"5378241000033112,""Nadolol 40mg/5ml oral suspension"",""Nadolol 40mg/5ml oral suspension"",""Nadolol"",""2040000"",""12300811000001107"""
"5565341000033115,""Nebivolol 2.5mg tablets"",""Nebivolol 2.5mg tablets"",""Nebivolol hydrochloride"",""2040000"",""39701111000001100"""
"5575541000033119,""Metoprolol 25mg/5ml oral solution"",""Metoprolol 25mg/5ml oral solution"",""Metoprolol tartrate"",""2040000"",""8668711000001100"""
"5814141000033119,""Nadolol 20mg/5ml oral solution"",""Nadolol 20mg/5ml oral solution"",""Nadolol"",""2040000"",""16130911000001101"""
"5898041000033111,""Bisoprolol 1.25mg/5ml oral solution"",""Bisoprolol 1.25mg/5ml oral solution"",""Bisoprolol fumarate"",""2040000"",""8305311000001100"""
"5898141000033110,""Bisoprolol 1.25mg/5ml oral suspension"",""Bisoprolol 1.25mg/5ml oral suspension"",""Bisoprolol fumarate"",""2040000"",""8305211000001108"""
"5898241000033115,""Bisoprolol 5mg/5ml oral solution"",""Bisoprolol 5mg/5ml oral solution"",""Bisoprolol fumarate"",""2040000"",""8304911000001103"""
"5898341000033113,""Bisoprolol 5mg/5ml oral suspension"",""Bisoprolol 5mg/5ml oral suspension"",""Bisoprolol fumarate"",""2040000"",""8304811000001108"""
"5898441000033119,""Bisoprolol 625micrograms/5ml oral solution"",""Bisoprolol 625micrograms/5ml oral solution"",""Bisoprolol fumarate"",""2040000"",""15160211000001100"""
"5898541000033118,""Bisoprolol 625micrograms/5ml oral suspension"",""Bisoprolol 625micrograms/5ml oral suspension"",""Bisoprolol fumarate"",""2040000"",""15160311000001108"""
"5972841000033117,""Metoprolol 50mg/5ml oral solution"",""Metoprolol 50mg/5ml oral solution"",""Metoprolol tartrate"",""2040000"",""8668911000001103"""
"5972941000033113,""Metoprolol 50mg/5ml oral suspension"",""Metoprolol 50mg/5ml oral suspension"",""Metoprolol tartrate"",""2040000"",""8669111000001108"""
"5991041000033111,""Bisoprolol 2.5mg/5ml oral solution"",""Bisoprolol 2.5mg/5ml oral solution"",""Bisoprolol fumarate"",""2040000"",""12287511000001104"""
"5998141000033117,""Propranolol 40mg/5ml oral suspension"",""Propranolol 40mg/5ml oral suspension"",""Propranolol hydrochloride"",""2040000"",""8672811000001103"""
"6487941000033119,""Labetalol 50mg/5ml oral solution"",""Labetalol 50mg/5ml oral solution"",""Labetalol hydrochloride"",""2040000"",""8582311000001109"""
"7871341000033114,""Nadolol 30mg/5ml oral solution"",""Nadolol 30mg/5ml oral solution"",""Nadolol"",""2040000"",""16109911000001102"""
"8536441000033115,""Bisoprolol 10mg/5ml oral suspension"",""Bisoprolol 10mg/5ml oral suspension"",""Bisoprolol fumarate"",""2040000"",""12287411000001103"""
"8961141000033117,""Nebivolol 10mg tablets"",""Nebivolol 10mg tablets"",""Nebivolol hydrochloride"",""2040000"",""39701011000001101"""
"9776441000033119,""Sotalol 25mg/5ml oral suspension"",""Sotalol 25mg/5ml oral suspension"",""Sotalol hydrochloride"",""2040000"",""8726911000001102"""
"10024941000033116,""Bisoprolol 5mg / Aspirin 75mg capsules"",""Bisoprolol 5mg / Aspirin 75mg capsules"",""Aspirin/ Bisoprolol fumarate"",""2040000"",""28365711000001103"""
"10025041000033116,""Bisoprolol 5mg / Aspirin 100mg capsules"",""Bisoprolol 5mg / Aspirin 100mg capsules"",""Aspirin/ Bisoprolol fumarate"",""2040000"",""28365611000001107"""
