prodcodeid,termfromemis,productname,drugsubstancename,bnfchapter,dmdid
2.46241E+14,Chlorothiazide 250mg/5ml oral suspension,Chlorothiazide 250mg/5ml oral suspension,Chlorothiazide,2020100,408039005
3.95041E+14,Cyclopenthiazide 500microgram tablets,Cyclopenthiazide 500microgram tablets,Cyclopenthiazide,2020100,317940003
7.44941E+14,Hydrochlorothiazide 25mg tablets,Hydrochlorothiazide 25mg tablets,Hydrochlorothiazide,2020100,376209006
7.45441E+14,Hydrochlorothiazide 50mg tablets,Hydrochlorothiazide 50mg tablets,Hydrochlorothiazide,2020100,376508004
7.65741E+14,Indapamide 1.5mg modified-release tablets,Indapamide 1.5mg modified-release tablets,Indapamide,2020100,3.90207E+16
7.68641E+14,Indapamide 2.5mg tablets,Indapamide 2.5mg tablets,Indapamide hemihydrate,2020100,3.96962E+16
9.03541E+14,Metolazone 5mg tablets,Metolazone 5mg tablets,Metolazone,2020100,317965001
1.11014E+15,Polythiazide 1mg tablets,Polythiazide 1mg tablets,Polythiazide,2020100,317967009
1.54394E+15,Xipamide 20mg tablets,Xipamide 20mg tablets,Xipamide,2020100,317970008
2.74644E+15,Hydrochlorothiazide 50mg/5ml oral solution,Hydrochlorothiazide 50mg/5ml oral solution,Hydrochlorothiazide,2020100,8.52961E+15
3.08314E+15,Bendroflumethiazide 2.5mg tablets,Bendroflumethiazide 2.5mg tablets,Bendroflumethiazide,2020100,317919004
3.08324E+15,Bendroflumethiazide 5mg tablets,Bendroflumethiazide 5mg tablets,Bendroflumethiazide,2020100,317920005
3.08624E+15,Chlortalidone 50mg tablets,Chlortalidone 50mg tablets,Chlortalidone,2020100,317935006
3.15184E+15,Bendroflumethiazide 2.5mg/5ml oral suspension,Bendroflumethiazide 2.5mg/5ml oral suspension,Bendroflumethiazide,2020100,8.30681E+15
3.92414E+15,Chlorothiazide 200mg/5ml oral suspension,Chlorothiazide 200mg/5ml oral suspension,Chlorothiazide,2020100,1.25023E+16
5.09364E+15,Chlorothiazide 250mg tablets,Chlorothiazide 250mg tablets,Chlorothiazide,2020100,395516007
5.40174E+15,Bendroflumethiazide 5mg/5ml oral suspension,Bendroflumethiazide 5mg/5ml oral suspension,Bendroflumethiazide,2020100,8.30671E+15
5.45394E+15,Bendroflumethiazide 1.25mg/5ml oral suspension,Bendroflumethiazide 1.25mg/5ml oral suspension,Bendroflumethiazide,2020100,8.30701E+15
5.89934E+15,Chlorothiazide 150mg/5ml oral suspension,Chlorothiazide 150mg/5ml oral suspension,Chlorothiazide,2020100,8.35851E+15
5.89944E+15,Chlorothiazide 25mg/5ml oral suspension,Chlorothiazide 25mg/5ml oral suspension,Chlorothiazide,2020100,8.35871E+15
5.96984E+15,Hydrochlorothiazide 5mg/5ml oral solution,Hydrochlorothiazide 5mg/5ml oral solution,Hydrochlorothiazide,2020100,1.25387E+16
5.96994E+15,Hydrochlorothiazide 5mg/5ml oral suspension,Hydrochlorothiazide 5mg/5ml oral suspension,Hydrochlorothiazide,2020100,1.25388E+16
5.99114E+15,Chlorothiazide 250mg/5ml oral solution,Chlorothiazide 250mg/5ml oral solution,Chlorothiazide,2020100,1.2503E+16
8.19644E+15,Metolazone 2.5mg tablets,Metolazone 2.5mg tablets,Metolazone,2020100,374173002
8.19704E+15,Indapamide 2.5mg/5ml oral suspension,Indapamide 2.5mg/5ml oral suspension,Indapamide,2020100,2.15789E+16
1.38128E+16,Chlortalidone 12.5mg tablets,Chlortalidone 12.5mg tablets,Chlortalidone,2020100,3.9565E+16
3.041E+12,Acebutolol 100mg capsules,Acebutolol 100mg capsules,Acebutolol hydrochloride,2040000,3.97242E+16
3.141E+12,Acebutolol 200mg capsules,Acebutolol 200mg capsules,Acebutolol hydrochloride,2040000,3.97252E+16
1.0741E+13,Acebutolol 400mg tablets,Acebutolol 400mg tablets,Acebutolol hydrochloride,2040000,3.97257E+16
8.9541E+13,Atenolol 5mg/10ml solution for injection ampoules,Atenolol 5mg/10ml solution for injection ampoules,Atenolol,2040000,3.59034E+16
9.0441E+13,Atenolol 25mg/5ml oral solution sugar free,Atenolol 25mg/5ml oral solution sugar free,Atenolol,2040000,3.59032E+16
9.0641E+13,Atenolol 25mg tablets,Atenolol 25mg tablets,Atenolol,2040000,318434003
9.1041E+13,Atenolol 100mg tablets,Atenolol 100mg tablets,Atenolol,2040000,318421004
9.1141E+13,Atenolol 50mg tablets,Atenolol 50mg tablets,Atenolol,2040000,318420003
1.45541E+14,Betaxolol 20mg tablets,Betaxolol 20mg tablets,Betaxolol hydrochloride,2040000,318443007
1.51341E+14,Bisoprolol 5mg tablets,Bisoprolol 5mg tablets,Bisoprolol fumarate,2040000,318590006
2.09941E+14,Carvedilol 12.5mg tablets,Carvedilol 12.5mg tablets,Carvedilol,2040000,318631003
2.10041E+14,Carvedilol 25mg tablets,Carvedilol 25mg tablets,Carvedilol,2040000,318632005
2.33341E+14,Celiprolol 400mg tablets,Celiprolol 400mg tablets,Celiprolol hydrochloride,2040000,318622003
2.36041E+14,Celiprolol 200mg tablets,Celiprolol 200mg tablets,Celiprolol hydrochloride,2040000,318619000
3.76441E+14,Co-tenidone 50mg/12.5mg tablets,Co-tenidone 50mg/12.5mg tablets,Atenolol/ Chlortalidone,2040000,318575007
3.76541E+14,Co-tenidone 100mg/25mg tablets,Co-tenidone 100mg/25mg tablets,Atenolol/ Chlortalidone,2040000,377211005
3.77341E+14,Co-prenozide 160mg/0.25mg modified-release tablets,Co-prenozide 160mg/0.25mg modified-release tablets,Cyclopenthiazide/ Oxprenolol hydrochloride,2040000,3.60916E+16
5.14741E+14,Bisoprolol 10mg tablets,Bisoprolol 10mg tablets,Bisoprolol fumarate,2040000,318591005
8.11341E+14,Labetalol 100mg/20ml solution for injection ampoules,Labetalol 100mg/20ml solution for injection ampoules,Labetalol hydrochloride,2040000,3.60376E+16
8.14041E+14,Labetalol 100mg tablets,Labetalol 100mg tablets,Labetalol hydrochloride,2040000,318445000
8.18641E+14,Labetalol 200mg tablets,Labetalol 200mg tablets,Labetalol hydrochloride,2040000,318446004
8.18741E+14,Labetalol 400mg tablets,Labetalol 400mg tablets,Labetalol hydrochloride,2040000,318447008
8.18841E+14,Labetalol 50mg tablets,Labetalol 50mg tablets,Labetalol hydrochloride,2040000,318458004
8.87141E+14,Metoprolol 5mg/5ml solution for injection ampoules,Metoprolol 5mg/5ml solution for injection ampoules,Metoprolol tartrate,2040000,3.63121E+15
8.91641E+14,Metoprolol 200mg modified-release tablets,Metoprolol 200mg modified-release tablets,Metoprolol tartrate,2040000,3.60354E+16
8.97741E+14,Metoprolol 100mg tablets,Metoprolol 100mg tablets,Metoprolol tartrate,2040000,318474009
8.97841E+14,Metoprolol 50mg tablets,Metoprolol 50mg tablets,Metoprolol tartrate,2040000,318475005
9.56341E+14,Nadolol 40mg tablets,Nadolol 40mg tablets,Nadolol,2040000,318480001
9.56541E+14,Nadolol 80mg tablets,Nadolol 80mg tablets,Nadolol,2040000,318481002
1.02604E+15,Oxprenolol 160mg modified-release tablets,Oxprenolol 160mg modified-release tablets,Oxprenolol hydrochloride,2040000,3.6023E+16
1.02614E+15,Oxprenolol 20mg tablets,Oxprenolol 20mg tablets,Oxprenolol hydrochloride,2040000,318483004
1.02624E+15,Oxprenolol 40mg tablets,Oxprenolol 40mg tablets,Oxprenolol hydrochloride,2040000,318484005
1.02634E+15,Oxprenolol 80mg tablets,Oxprenolol 80mg tablets,Oxprenolol hydrochloride,2040000,318485006
1.09114E+15,Pindolol 15mg tablets,Pindolol 15mg tablets,Pindolol,2040000,318513007
1.09124E+15,Pindolol 5mg tablets,Pindolol 5mg tablets,Pindolol,2040000,318512002
1.11964E+15,Propranolol 1mg/1ml solution for injection ampoules,Propranolol 1mg/1ml solution for injection ampoules,Propranolol hydrochloride,2040000,3.59326E+16
1.12404E+15,Propranolol 160mg modified-release capsules,Propranolol 160mg modified-release capsules,Propranolol hydrochloride,2040000,3.87512E+16
1.12534E+15,Propranolol 10mg/5ml oral solution sugar free,Propranolol 10mg/5ml oral solution sugar free,Propranolol hydrochloride,2040000,3.59323E+16
1.12544E+15,Propranolol 5mg/5ml oral solution sugar free,Propranolol 5mg/5ml oral solution sugar free,Propranolol hydrochloride,2040000,3.59328E+16
1.12554E+15,Propranolol 50mg/5ml oral solution sugar free,Propranolol 50mg/5ml oral solution sugar free,Propranolol hydrochloride,2040000,3.59327E+16
1.13004E+15,Propranolol 80mg modified-release capsules,Propranolol 80mg modified-release capsules,Propranolol hydrochloride,2040000,3.87511E+16
1.13504E+15,Propranolol 10mg tablets,Propranolol 10mg tablets,Propranolol hydrochloride,2040000,318352004
1.13514E+15,Propranolol 160mg tablets,Propranolol 160mg tablets,Propranolol hydrochloride,2040000,318355002
1.13524E+15,Propranolol 40mg tablets,Propranolol 40mg tablets,Propranolol hydrochloride,2040000,318353009
