prodcodeid,termfromemis,productname,drugsubstancename,bnfchapter,dmdid
5.8941E+13,Amisulpride 200mg tablets,Amisulpride 200mg tablets,Amisulpride,4020100,321638002
5.9041E+13,Amisulpride 50mg tablets,Amisulpride 50mg tablets,Amisulpride,4020100,321637007
2.84941E+14,Clozaril 25mg tablets (Viatris UK Healthcare Ltd),Clozaril 25mg tablets,Clozapine,NA,3.83031E+15
2.85041E+14,Clozaril 100mg tablets (Viatris UK Healthcare Ltd),Clozaril 100mg tablets,Clozapine,NA,3.83201E+15
2.87541E+14,Clozapine 100mg tablets,Clozapine 100mg tablets,Clozapine,4020100,321574000
2.87641E+14,Clozapine 25mg tablets,Clozapine 25mg tablets,Clozapine,4020100,321573006
1.00364E+15,Olanzapine 10mg tablets,Olanzapine 10mg tablets,Olanzapine,4020100,321614001
1.00374E+15,Olanzapine 5mg tablets,Olanzapine 5mg tablets,Olanzapine,4020100,321612002
1.00384E+15,Olanzapine 7.5mg tablets,Olanzapine 7.5mg tablets,Olanzapine,4020100,321613007
1.17384E+15,Risperdal 1mg/ml oral solution (Janssen-Cilag Ltd),Risperdal 1mg/ml oral solution,Risperidone,NA,3.43311E+14
1.17394E+15,Risperidone 1mg/ml oral solution sugar free,Risperidone 1mg/ml oral solution sugar free,Risperidone,4020100,321597002
1.17624E+15,Risperdal 1mg tablets (Janssen-Cilag Ltd),Risperdal 1mg tablets,Risperidone,NA,5.89911E+14
1.17634E+15,Risperdal 2mg tablets (Janssen-Cilag Ltd),Risperdal 2mg tablets,Risperidone,NA,8.58911E+14
1.17644E+15,Risperdal 3mg tablets (Janssen-Cilag Ltd),Risperdal 3mg tablets,Risperidone,NA,5.18911E+14
1.17654E+15,Risperdal 4mg tablets (Janssen-Cilag Ltd),Risperdal 4mg tablets,Risperidone,NA,4.29611E+14
1.17664E+15,Risperidone 1mg tablets,Risperidone 1mg tablets,Risperidone,4020100,321589009
1.17674E+15,Risperidone 2mg tablets,Risperidone 2mg tablets,Risperidone,4020100,321590000
1.17684E+15,Risperidone 3mg tablets,Risperidone 3mg tablets,Risperidone,4020100,321591001
1.17694E+15,Risperidone 4mg tablets,Risperidone 4mg tablets,Risperidone,4020100,321592008
1.17764E+15,Risperdal 6mg tablets (Janssen-Cilag Ltd),Risperdal 6mg tablets,Risperidone,NA,1.53111E+14
1.17774E+15,Risperidone 6mg tablets,Risperidone 6mg tablets,Risperidone,4020100,321599004
1.27684E+15,Serdolect 12mg tablets (Imported (Denmark)),Serdolect 12mg tablets,Sertindole,NA,4.73171E+15
1.27694E+15,Serdolect 16mg tablets (Imported (Denmark)),Serdolect 16mg tablets,Sertindole,NA,4.73201E+15
1.27704E+15,Serdolect 20mg tablets (Imported (Denmark)),Serdolect 20mg tablets,Sertindole,NA,4.73231E+15
1.27714E+15,Serdolect 4mg tablets (Imported (Denmark)),Serdolect 4mg tablets,Sertindole,NA,4.72961E+15
1.27724E+15,Sertindole 12mg tablets,Sertindole 12mg tablets,Sertindole,4020100,4.74821E+15
1.27734E+15,Sertindole 16mg tablets,Sertindole 16mg tablets,Sertindole,4020100,4.74831E+15
1.27744E+15,Sertindole 20mg tablets,Sertindole 20mg tablets,Sertindole,4020100,4.74841E+15
1.27754E+15,Sertindole 4mg tablets,Sertindole 4mg tablets,Sertindole,4020100,4.74851E+15
1.36664E+15,Solian 200 tablets (Sanofi),Solian 200 tablets,Amisulpride,NA,3.19511E+14
1.36674E+15,Solian 50 tablets (Sanofi),Solian 50 tablets,Amisulpride,NA,2.4311E+13
1.56514E+15,Zyprexa 10mg tablets (Eli Lilly and Company Ltd),Zyprexa 10mg tablets,Olanzapine,NA,4.86611E+14
1.56524E+15,Zyprexa 5mg tablets (Eli Lilly and Company Ltd),Zyprexa 5mg tablets,Olanzapine,NA,4.67011E+14
1.56534E+15,Zyprexa 7.5mg tablets (Eli Lilly and Company Ltd),Zyprexa 7.5mg tablets,Olanzapine,NA,7.76911E+14
1.66114E+15,Olanzapine 2.5mg tablets,Olanzapine 2.5mg tablets,Olanzapine,4020100,321618003
1.71394E+15,Zyprexa 2.5mg tablets (Eli Lilly and Company Ltd),Zyprexa 2.5mg tablets,Olanzapine,NA,3.37311E+14
1.76574E+15,Zoleptil 100 tablets (Movianto UK Ltd),Zoleptil 100 tablets,Zotepine,NA,4.12451E+15
1.76584E+15,Zoleptil 25 tablets (Movianto UK Ltd),Zoleptil 25 tablets,Zotepine,NA,3.90481E+15
1.76594E+15,Zoleptil 50 tablets (Movianto UK Ltd),Zoleptil 50 tablets,Zotepine,NA,3.90561E+15
1.76604E+15,Zotepine 100mg tablets,Zotepine 100mg tablets,Zotepine,4020100,321644003
1.76614E+15,Zotepine 25mg tablets,Zotepine 25mg tablets,Zotepine,4020100,321642004
1.76624E+15,Zotepine 50mg tablets,Zotepine 50mg tablets,Zotepine,4020100,321643009
2.07774E+15,Olanzapine 5mg oral lyophilisates sugar free,Olanzapine 5mg oral lyophilisates sugar free,Olanzapine,4020100,321622008
2.07784E+15,Olanzapine 10mg oral lyophilisates sugar free,Olanzapine 10mg oral lyophilisates sugar free,Olanzapine,4020100,321623003
2.07794E+15,Zyprexa 5mg Velotabs (Eli Lilly and Company Ltd),Zyprexa 5mg Velotabs,Olanzapine,NA,9.1711E+13
2.07804E+15,Zyprexa 10mg Velotabs (Eli Lilly and Company Ltd),Zyprexa 10mg Velotabs,Olanzapine,NA,8.97111E+14
2.18814E+15,Risperdal 500microgram tablets (Janssen-Cilag Ltd),Risperdal 500microgram tablets,Risperidone,NA,5.26611E+14
2.18824E+15,Risperidone 500microgram tablets,Risperidone 500microgram tablets,Risperidone,4020100,321602009
2.21664E+15,Amisulpride 400mg tablets,Amisulpride 400mg tablets,Amisulpride,4020100,134517009
2.21674E+15,Solian 400 tablets (Sanofi),Solian 400 tablets,Amisulpride,NA,2.54011E+14
2.64484E+15,Amisulpride 100mg/ml oral solution sugar free,Amisulpride 100mg/ml oral solution sugar free,Amisulpride,4020100,3.59011E+16
2.64494E+15,Solian 100mg/ml oral solution (Sanofi),Solian 100mg/ml oral solution,Amisulpride,NA,3.93381E+15
2.75964E+15,Olanzapine 15mg tablets,Olanzapine 15mg tablets,Olanzapine,4020100,376807001
2.75974E+15,Olanzapine 15mg oral lyophilisates sugar free,Olanzapine 15mg oral lyophilisates sugar free,Olanzapine,4020100,3.43491E+15
2.75984E+15,Zyprexa 15mg tablets (Eli Lilly and Company Ltd),Zyprexa 15mg tablets,Olanzapine,NA,5.11111E+14
2.75994E+15,Zyprexa 15mg Velotabs (Eli Lilly and Company Ltd),Zyprexa 15mg Velotabs,Olanzapine,NA,4.37611E+14
2.77984E+15,Risperdal Consta 25mg powder and solvent for suspension for injection vials (Janssen-Cilag Ltd),Risperdal Consta 25mg powder and solvent for suspension for injection vials,Risperidone,NA,4.52071E+15
2.77994E+15,Risperdal Consta 37.5mg powder and solvent for suspension for injection vials (Janssen-Cilag Ltd),Risperdal Consta 37.5mg powder and solvent for suspension for injection vials,Risperidone,NA,4.16671E+15
2.78004E+15,Risperdal Consta 50mg powder and solvent for suspension for injection vials (Janssen-Cilag Ltd),Risperdal Consta 50mg powder and solvent for suspension for injection vials,Risperidone,NA,4.16701E+15
2.78014E+15,Risperidone 25mg powder and solvent for suspension for injection vials,Risperidone 25mg powder and solvent for suspension for injection vials,Risperidone,4020200,4.55911E+15
2.78024E+15,Risperidone 37.5mg powder and solvent for suspension for injection vials,Risperidone 37.5mg powder and solvent for suspension for injection vials,Risperidone,4020200,4.17691E+15
2.78034E+15,Risperidone 50mg powder and solvent for suspension for injection vials,Risperidone 50mg powder and solvent for suspension for injection vials,Risperidone,4020200,4.17701E+15
2.83514E+15,Amisulpride 100mg tablets,Amisulpride 100mg tablets,Amisulpride,4020100,400645002
2.83524E+15,Solian 100 tablets (Sanofi),Solian 100 tablets,Amisulpride,NA,2.84191E+15
2.86884E+15,Risperidone 1mg orodispersible tablets sugar free,Risperidone 1mg orodispersible tablets sugar free,Risperidone,4020100,4.05401E+15
2.86894E+15,Risperidone 2mg orodispersible tablets sugar free,Risperidone 2mg orodispersible tablets sugar free,Risperidone,4020100,4.05411E+15
2.86904E+15,Risperdal Quicklet 1mg orodispersible tablets (Janssen-Cilag Ltd),Risperdal Quicklet 1mg orodispersible tablets,Risperidone,NA,4.03921E+15
2.86914E+15,Risperdal Quicklet 2mg orodispersible tablets (Janssen-Cilag Ltd),Risperdal Quicklet 2mg orodispersible tablets,Risperidone,NA,4.03971E+15
3.03084E+15,Olanzapine 10mg powder for solution for injection vials,Olanzapine 10mg powder for solution for injection vials,Olanzapine,4020100,5.81831E+15
3.13754E+15,Aripiprazole 10mg tablets,Aripiprazole 10mg tablets,Aripiprazole,4020100,406787003
3.13764E+15,Aripiprazole 15mg tablets,Aripiprazole 15mg tablets,Aripiprazole,4020100,406788008
3.13774E+15,Aripiprazole 30mg tablets,Aripiprazole 30mg tablets,Aripiprazole,4020100,406790009
3.13784E+15,Abilify 10mg tablets (Otsuka Pharmaceuticals (U.K.) Ltd),Abilify 10mg tablets,Aripiprazole,NA,7.63711E+15
3.13794E+15,Abilify 15mg tablets (Otsuka Pharmaceuticals (U.K.) Ltd),Abilify 15mg tablets,Aripiprazole,NA,7.63741E+15
3.13804E+15,Abilify 30mg tablets (Otsuka Pharmaceuticals (U.K.) Ltd),Abilify 30mg tablets,Aripiprazole,NA,7.63781E+15
3.15894E+15,Denzapine 25mg tablets (Britannia Pharmaceuticals Ltd),Denzapine 25mg tablets,Clozapine,NA,7.97291E+15
3.15904E+15,Denzapine 100mg tablets (Britannia Pharmaceuticals Ltd),Denzapine 100mg tablets,Clozapine,NA,7.97401E+15
3.22524E+15,Aripiprazole 5mg tablets,Aripiprazole 5mg tablets,Aripiprazole,4020100,406786007
3.22534E+15,Abilify 5mg tablets (Otsuka Pharmaceuticals (U.K.) Ltd),Abilify 5mg tablets,Aripiprazole,NA,9.03791E+15
3.22634E+15,Zaponex 25mg tablets (Leyden Delta B.V.),Zaponex 25mg tablets,Clozapine,NA,8.83891E+15
3.22644E+15,Zaponex 100mg tablets (Leyden Delta B.V.),Zaponex 100mg tablets,Clozapine,NA,8.83951E+15
3.24604E+15,Risperidone 500microgram orodispersible tablets sugar free,Risperidone 500microgram orodispersible tablets sugar free,Risperidone,4020100,9.04591E+15
3.24614E+15,Risperdal Quicklet 500microgram orodispersible tablets (Janssen-Cilag Ltd),Risperdal Quicklet 500microgram orodispersible tablets,Risperidone,NA,9.04421E+15
3.86654E+15,Olanzapine 20mg oral lyophilisates sugar free,Olanzapine 20mg oral lyophilisates sugar free,Olanzapine,4020100,386213008
3.86664E+15,Zyprexa 20mg Velotabs (Eli Lilly and Company Ltd),Zyprexa 20mg Velotabs,Olanzapine,NA,9.89101E+15
3.89254E+15,Olanzapine 2.5mg/5ml oral suspension,Olanzapine 2.5mg/5ml oral suspension,Olanzapine,4020100,1.40159E+16
3.95034E+15,Aripiprazole 10mg orodispersible tablets sugar free,Aripiprazole 10mg orodispersible tablets sugar free,Aripiprazole,4020100,1.06753E+16
