"medcodeid,""term"""
"259567011,""Plasma fasting high density lipoprotein cholesterol level (observable entity)"""
"458313013,""Plasma high density lipoprotein cholesterol level (observable entity)"""
"259564016,""Plasma random high density lipoprotein cholesterol level (observable entity)"""
"259242012,""Serum fasting high density lipoprotein cholesterol level (observable entity)"""
"259232010,""Serum high density lipoprotein cholesterol level (observable entity)"""
"8385731000006118,""Serum high density lipoprotein cholesterol level (observable entity)"""
"259243019,""Serum random high density lipoprotein cholesterol level (observable entity)"""
"12622291000006110,""Substance concentration of high density lipoprotein cholesterol in plasma (observable entity)"""
"12622301000006111,""Substance concentration of high density lipoprotein cholesterol in plasma (observable entity)"""
"12622321000006118,""Substance concentration of high density lipoprotein cholesterol in serum (observable entity)"""
"12622331000006115,""Substance concentration of high density lipoprotein cholesterol in serum (observable entity)"""
"259266018,""Lipoprotein electroph. - HDL"""
"855771000006118,""HDL cholesterol level"""
"1822511000006110,""Test request : Serum HDL cholesterol level"""
