prodcodeid,term,condition
1.26336E+16,Alkindi 0.5mg granules in capsules for opening (Diurnal Ltd) (product),Oral corticosteroids 
1.26337E+16,Alkindi 1mg granules in capsules for opening (Diurnal Ltd) (product),Oral corticosteroids 
1.26338E+16,Alkindi 2mg granules in capsules for opening (Diurnal Ltd) (product),Oral corticosteroids 
1.26339E+16,Alkindi 5mg granules in capsules for opening (Diurnal Ltd) (product),Oral corticosteroids 
1.44641E+14,Betamethasone 500microgram soluble tablets sugar free (product),Oral corticosteroids 
1.45441E+14,Betamethasone 500microgram tablets (product),Oral corticosteroids 
1.43041E+14,Betnelan 500microgram tablets (Celltech Pharmaceuticals Ltd) (product),Oral corticosteroids 
1.44841E+14,Betnesol 500microgram soluble tablets (Celltech Pharmaceuticals Ltd) (product),Oral corticosteroids 
1.58114E+15,Calcort 1mg tablets (Shire Pharmaceuticals Ltd) (product),Oral corticosteroids 
1.58104E+15,Calcort 30mg tablets (Shire Pharmaceuticals Ltd) (product),Oral corticosteroids 
2.10841E+14,Calcort 6mg tablets (Shire Pharmaceuticals Ltd) (product),Oral corticosteroids 
4.30841E+14,Decadron 500microgram tablets (Merck Sharp & Dohme Ltd) (product),Oral corticosteroids 
1.60144E+15,Deflazacort 1mg tablets (product),Oral corticosteroids 
1.60134E+15,Deflazacort 30mg tablets (product),Oral corticosteroids 
4.28941E+14,Deflazacort 6mg tablets (product),Oral corticosteroids 
4.31541E+14,Deltacortril Enteric 2.5mg tablets (Pfizer Ltd) (product),Oral corticosteroids 
4.31641E+14,Deltacortril Enteric 5mg tablets (Pfizer Ltd) (product),Oral corticosteroids 
9.12244E+15,Dexamethasone 10mg/5ml oral solution sugar free (product),Oral corticosteroids 
1.02138E+16,Dexamethasone 20mg/5ml oral solution sugar free (product),Oral corticosteroids 
1.10721E+16,Dexamethasone 2mg soluble tablets sugar free (product),Oral corticosteroids 
4.31841E+14,Dexamethasone 2mg tablets (product),Oral corticosteroids 
2.14654E+15,Dexamethasone 2mg/5ml oral solution sugar free (product),Oral corticosteroids 
1.23982E+16,Dexamethasone 40mg tablets (product),Oral corticosteroids 
1.10722E+16,Dexamethasone 4mg soluble tablets sugar free (product),Oral corticosteroids 
5.50624E+15,Dexamethasone 4mg tablets (product),Oral corticosteroids 
4.31941E+14,Dexamethasone 500microgram tablets (product),Oral corticosteroids 
5.90084E+15,Dexamethasone 500micrograms/5ml oral solution (product),Oral corticosteroids 
5.90094E+15,Dexamethasone 500micrograms/5ml oral suspension (product),Oral corticosteroids 
5.90064E+15,Dexamethasone 5mg/5ml oral solution (product),Oral corticosteroids 
5.90074E+15,Dexamethasone 5mg/5ml oral suspension (product),Oral corticosteroids 
1.10723E+16,Dexamethasone 8mg soluble tablets sugar free (product),Oral corticosteroids 
1.25759E+16,Dexamethasone 8mg tablets (product),Oral corticosteroids 
2.14644E+15,Dexsol 2mg/5ml oral solution (Rosemont Pharmaceuticals Ltd) (product),Oral corticosteroids 
