"medcodeid,""term"""
"2620391000000111,""Maternal postnatal depression"""
"5106051000006119,""Mild postnatal depression"""
"5106061000006117,""Severe postnatal depression"""
"8100481000006111,""History of postnatal depression"""
"6550791000006111,""Counseling for postnatal depression"""
"6550801000006112,""Counselling for postnatal depression"""
"6550781000006113,""Postnatal depression counseling"""
"1488771018,""Postnatal depression counselling"""
"423131000006113,""[X]Postnatal depression NOS"""
"423141000006115,""[X]Postpartum depression NOS"""
"1231868010,""Puerperal depression"""
"223651000000118,""Postpartum depression"""
"423131000006113,""[X]Postnatal depression NOS"""
"423141000006115,""[X]Postpartum depression NOS"""
"1231868010,""Puerperal depression"""
"223651000000118,""Postpartum depression"""
"423131000006113,""[X]Postnatal depression NOS"""
"423141000006115,""[X]Postpartum depression NOS"""
"1231868010,""Puerperal depression"""
"223651000000118,""Postpartum depression"""
"853871000006111,""Post natal depression"""
"908731000006114,""[RFC] Postnatal depression"""
