"medcodeid,""term"""
"8032991000006118,""History of preeclampsia"""
"8033001000006117,""History of pre-eclampsia"""
"2279041000000113,""H/O: pre-eclampsia"""
"252142015,""H/O: severe pre-eclampsia"""
"4544391000006110,""History of severe pre-eclampsia"""
"1861661000006114,""H/O: pre-eclampsia"""
"305789010,""Mild or unspecified pre-eclampsia - delivered"""
"12717231000006110,""Mild or unspecified pre-eclampsia - delivered"""
"305801019,""Severe pre-eclampsia - delivered"""
"305802014,""Severe pre-eclampsia - delivered with postnatal complication"""
"305803016,""Severe pre-eclampsia - not delivered"""
"305804010,""Severe pre-eclampsia with postnatal complication"""
"212961000006118,""Pre-eclampsia or eclampsia + pre-existing hypertension NOS"""
"305818015,""Pre-eclampsia or eclampsia with pre-existing hypertension"""
"213011000006113,""Pre-eclampsia or eclampsia with hypertension unspecified"""
"212991000006114,""Pre-eclampsia or eclampsia with pre-existing hypertension - delivered"""
"212981000006111,""Pre-eclampsia or eclampsia with pre-existing hypertension - delivered with postnatal complication"""
"213001000006110,""Pre-eclampsia or eclampsia with pre-existing hypertension - not delivered"""
"212971000006113,""Pre-eclampsia or eclampsia with pre-existing hypertension with postnatal complication"""
"5105201000006119,""Moderate proteinuric hypertension of pregnancy"""
"355625017,""Moderate pre-eclampsia"""
"305788019,""Mild or unspecified pre-eclampsia unspecified"""
"305791019,""Mild or unspecified pre-eclampsia - not delivered"""
"305795011,""Mild or unspecified pre-eclampsia NOS"""
"702961000006110,""Mild or unspecified pre-eclampsia - delivered with p/n comp"""
"6600681000006117,""EPH - Oedema, proteinuria and hypertension of pregnancy"""
"6600701000006119,""PET - Pre-eclamptic toxaemia"""
"6600691000006119,""Pre-eclamptic toxaemia"""
"6600721000006112,""PET - Pre-eclamptic toxemia"""
"398342013,""Pre-eclampsia"""
"6600711000006116,""EPH - Edema, proteinuria and hypertension of pregnancy"""
"703001000006118,""Mild or unspecified pre-eclampsia with p/n complication"""
"1226072015,""Preeclampsia"""
"6600741000006117,""PE - Pre-eclampsia"""
"6600731000006110,""Pre-eclamptic toxemia"""
"494622019,""Proteinuric hypertension of pregnancy"""
"3162231000006114,""PET - Mild pre-eclamptic toxemia"""
"3162221000006111,""PET - Mild pre-eclamptic toxaemia"""
"3162241000006116,""Mild proteinuric hypertension of pregnancy"""
"3162211000006115,""Mild pre-eclamptic toxaemia"""
"3162201000006118,""Mild pre-eclamptic toxemia"""
"991571000006114,""Pre-eclampsia NOS"""
"703011000006115,""Mild pre-eclampsia"""
"68583017,""Mild pre-eclampsia"""
"3255831000006110,""Severe proteinuric hypertension of pregnancy"""
"3255821000006112,""PET - Severe pre-eclamptic toxemia"""
"3255791000006115,""Severe pre-eclamptic toxemia"""
"305805011,""Severe pre-eclampsia NOS"""
"305800018,""Severe pre-eclampsia unspecified"""
"3255801000006119,""Severe pre-eclamptic toxaemia"""
"3255811000006116,""PET - Severe pre-eclamptic toxaemia"""
"77942011,""Severe pre-eclampsia"""
"887841000006118,""Pre-eclampsia NOS"""
"12729391000006117,""Mild or unspecified pre-eclampsia NOS"""
"3595881000006114,""PET - Superimposed pre-eclamptic toxemia"""
"3595901000006111,""Superimposed pre-eclampsia"""
"3595891000006112,""PIH - Superimposed pregnancy-induced hypertension"""
"3595871000006111,""PET - Superimposed pre-eclamptic toxaemia"""
"3595861000006116,""Pre-eclampsia added to pre-existing hypertension"""
"3526164014,""Nephropathy following pre-eclampsia"""
"12027721000006112,""Postpartum pre-eclampsia"""
"12027731000006110,""Pre-eclampsia in puerperium"""
