prodcodeid,termfromemis,productname,drugsubstancename,bnfchapter,dmdid
1.33684E+15,Simvastatin 10mg tablets,Simvastatin 10mg tablets,Simvastatin,2120000,319996000
1.33694E+15,Simvastatin 20mg tablets,Simvastatin 20mg tablets,Simvastatin,2120000,319997009
1.33754E+15,Simvastatin 40mg tablets,Simvastatin 40mg tablets,Simvastatin,2120000,320000009
1.56224E+15,Zocor 40mg tablets (Organon Pharma (UK) Ltd),Zocor 40mg tablets,Simvastatin,NA,8.59611E+14
1.56284E+15,Zocor 10mg tablets (Organon Pharma (UK) Ltd),Zocor 10mg tablets,Simvastatin,NA,1.08111E+14
1.56294E+15,Zocor 20mg tablets (Organon Pharma (UK) Ltd),Zocor 20mg tablets,Simvastatin,NA,7.76811E+14
2.06624E+15,Simvastatin 80mg tablets,Simvastatin 80mg tablets,Simvastatin,2120000,320006003
2.06634E+15,Zocor 80mg tablets (Organon Pharma (UK) Ltd),Zocor 80mg tablets,Simvastatin,NA,1.13211E+14
2.97394E+15,Simvador 10mg tablets (Dexcel-Pharma Ltd),Simvador 10mg tablets,Simvastatin,NA,4.89621E+15
2.97404E+15,Simvador 20mg tablets (Dexcel-Pharma Ltd),Simvador 20mg tablets,Simvastatin,NA,4.89651E+15
2.97414E+15,Simvador 40mg tablets (Dexcel-Pharma Ltd),Simvador 40mg tablets,Simvastatin,NA,4.89671E+15
3.14084E+15,Ranzolont 10mg tablets (Ranbaxy (UK) Ltd),Ranzolont 10mg tablets,Simvastatin,NA,7.63021E+15
3.14094E+15,Ranzolont 20mg tablets (Ranbaxy (UK) Ltd),Ranzolont 20mg tablets,Simvastatin,NA,7.63191E+15
3.14104E+15,Ranzolont 40mg tablets (Ranbaxy (UK) Ltd),Ranzolont 40mg tablets,Simvastatin,NA,7.63281E+15
3.30414E+15,Simvastatin 20mg/5ml oral suspension,Simvastatin 20mg/5ml oral suspension,Simvastatin,2120000,8.72211E+15
4.15234E+15,Simvastatin 40mg/5ml oral suspension,Simvastatin 40mg/5ml oral suspension,Simvastatin,2120000,1.38944E+16
4.94164E+15,Simvador 80mg tablets (Dexcel-Pharma Ltd),Simvador 80mg tablets,Simvastatin,NA,1.51586E+16
5.81774E+15,Simvastatin 20mg/5ml oral suspension sugar free,Simvastatin 20mg/5ml oral suspension sugar free,Simvastatin,2120000,1.73693E+16
5.81784E+15,Simvastatin 40mg/5ml oral suspension sugar free,Simvastatin 40mg/5ml oral suspension sugar free,Simvastatin,2120000,1.74298E+16
5.88844E+15,Simvastatin 20mg/5ml oral solution,Simvastatin 20mg/5ml oral solution,Simvastatin,2120000,1.38942E+16
5.88854E+15,Simvastatin 40mg/5ml oral solution,Simvastatin 40mg/5ml oral solution,Simvastatin,2120000,1.38943E+16
3.83614E+15,crestor 5mg tablets (astrazeneca uk ltd),crestor 5mg tablets,rosuvastatin calcium,,9.74751E+15
3.86874E+15,atorvastatin 20mg/5ml oral suspension,atorvastatin 20mg/5ml oral suspension,atorvastatin calcium trihydrate,,1.40183E+16
8.49384E+15,pravastatin 5mg/5ml oral solution,pravastatin 5mg/5ml oral solution,pravastatin sodium,,1.49577E+16
2.33741E+14,cerivastatin 100microgram tablets,cerivastatin 100microgram tablets,cerivastatin sodium,,320035006
8.36741E+14,lipobay 200microgram tablets (bayer plc),lipobay 200microgram tablets,cerivastatin sodium,,4.53751E+15
7.86154E+15,atorvastatin 60mg tablets,atorvastatin 60mg tablets,atorvastatin calcium trihydrate,,2.05286E+16
8.36841E+14,lipobay 300microgram tablets (bayer plc),lipobay 300microgram tablets,cerivastatin sodium,,4.56631E+15
2.33941E+14,cerivastatin 300microgram tablets,cerivastatin 300microgram tablets,cerivastatin sodium,,320037003
1.91684E+15,cerivastatin 400microgram tablets,cerivastatin 400microgram tablets,cerivastatin sodium,,320041004
5.56054E+15,pinmactil 80mg modified-release tablets (mylan),pinmactil 80mg modified-release tablets,fluvastatin sodium,,1.67353E+16
5.80864E+15,stefluvin xl 80mg tablets (zentiva),stefluvin xl 80mg tablets,fluvastatin sodium,,1.7332E+16
1.91674E+15,lipobay 400microgram tablets (bayer plc),lipobay 400microgram tablets,cerivastatin sodium,,4.53811E+15
7.86144E+15,atorvastatin 30mg tablets,atorvastatin 30mg tablets,atorvastatin calcium trihydrate,,2.05285E+16
5.71104E+15,pravastatin 40mg/5ml oral suspension,pravastatin 40mg/5ml oral suspension,pravastatin sodium,,1.55345E+16
8.96244E+15,nandovar xl 80mg tablets (sandoz ltd),nandovar xl 80mg tablets,fluvastatin sodium,,2.38643E+16
5.00714E+15,luvinsta xl 80mg tablets (actavis uk ltd),luvinsta xl 80mg tablets,fluvastatin sodium,,1.53642E+16
2.29004E+15,cerivastatin 800microgram tablets,cerivastatin 800microgram tablets,cerivastatin sodium,,134491009
5.99054E+15,atorvastatin 20mg/5ml oral solution,atorvastatin 20mg/5ml oral solution,atorvastatin calcium trihydrate,,1.40182E+16
2.29014E+15,lipobay 800microgram tablets (bayer plc),lipobay 800microgram tablets,cerivastatin sodium,,4.56851E+15
1.06186E+16,pravastatin 5mg/5ml oral suspension,pravastatin 5mg/5ml oral suspension,pravastatin sodium,,1.49578E+16
5.89774E+15,atorvastatin 10mg/5ml oral suspension,atorvastatin 10mg/5ml oral suspension,atorvastatin calcium trihydrate,,1.41587E+16
2.33841E+14,cerivastatin 200microgram tablets,cerivastatin 200microgram tablets,cerivastatin sodium,,320036007
1.29872E+16,cadaff xl 80mg tablets (torrent pharma (uk) ltd),cadaff xl 80mg tablets,fluvastatin sodium,,3.68364E+16
3.83604E+15,rosuvastatin 5mg tablets,rosuvastatin 5mg tablets,rosuvastatin calcium,,409108001
5.71184E+15,dorisin xl 80mg tablets (aspire pharma ltd),dorisin xl 80mg tablets,fluvastatin sodium,,1.7282E+16
1.24865E+16,cholesterol 2% / simvastatin 2% cream,cholesterol 2% / simvastatin 2% cream,cholesterol/ simvastatin,,3.52995E+16
8.36641E+14,lipobay 100microgram tablets (bayer plc),lipobay 100microgram tablets,cerivastatin sodium,,4.53591E+15
5.89784E+15,atorvastatin 10mg/5ml oral solution,atorvastatin 10mg/5ml oral solution,atorvastatin calcium trihydrate,,1.41586E+16
2.89174E+15,rosuvastatin 40mg tablets,rosuvastatin 40mg tablets,rosuvastatin calcium,2120000,408024009
1.12418E+16,fenofibrate 145mg / simvastatin 40mg tablets,fenofibrate 145mg / simvastatin 40mg tablets,fenofibrate/ simvastatin,2120000,3.22343E+16
2.89154E+15,rosuvastatin 10mg tablets,rosuvastatin 10mg tablets,rosuvastatin calcium,2120000,408036003
1.13014E+15,pravastatin 10mg tablets,pravastatin 10mg tablets,pravastatin sodium,2120000,320012008
1.13024E+15,pravastatin 20mg tablets,pravastatin 20mg tablets,pravastatin sodium,2120000,320013003
8.36441E+14,lipitor 40mg tablets (upjohn uk ltd),lipitor 40mg tablets,atorvastatin calcium trihydrate,2120000,4.84211E+14
1.12417E+16,fenofibrate 145mg / simvastatin 20mg tablets,fenofibrate 145mg / simvastatin 20mg tablets,fenofibrate/ simvastatin,2120000,3.22342E+16
3.29254E+15,simvastatin 40mg / ezetimibe 10mg tablets,simvastatin 40mg / ezetimibe 10mg tablets,ezetimibe/ simvastatin,2120000,414178007
1.12419E+16,cholib 145mg/20mg tablets (mylan),cholib 145mg/20mg tablets,fenofibrate/ simvastatin,2120000,3.21709E+16
9.1941E+13,atorvastatin 10mg tablets,atorvastatin 10mg tablets,atorvastatin calcium trihydrate,2120000,320029006
2.89204E+15,crestor 40mg tablets (astrazeneca uk ltd),crestor 40mg tablets,rosuvastatin calcium,2120000,4.17211E+15
6.46864E+15,atorvastatin 10mg chewable tablets sugar free,atorvastatin 10mg chewable tablets sugar free,atorvastatin calcium trihydrate,2120000,1.97224E+16
5.78741E+14,fluvastatin 40mg capsules,fluvastatin 40mg capsules,fluvastatin sodium,2120000,320023007
2.89184E+15,crestor 10mg tablets (astrazeneca uk ltd),crestor 10mg tablets,rosuvastatin calcium,2120000,4.17101E+15
2.89194E+15,crestor 20mg tablets (astrazeneca uk ltd),crestor 20mg tablets,rosuvastatin calcium,2120000,4.17131E+15
6.46884E+15,atorvastatin 20mg chewable tablets sugar free,atorvastatin 20mg chewable tablets sugar free,atorvastatin calcium trihydrate,2120000,1.97225E+16
2.26114E+15,lipitor 80mg tablets (upjohn uk ltd),lipitor 80mg tablets,atorvastatin calcium trihydrate,2120000,7.56111E+14
8.20041E+14,lescol 40mg capsules (novartis pharmaceuticals uk ltd),lescol 40mg capsules,fluvastatin sodium,2120000,4.09611E+14
2.26104E+15,atorvastatin 80mg tablets,atorvastatin 80mg tablets,atorvastatin calcium trihydrate,2120000,134489001
6.46904E+15,lipitor 10mg chewable tablets (upjohn uk ltd),lipitor 10mg chewable tablets,atorvastatin calcium trihydrate,2120000,1.97193E+16
6.46914E+15,lipitor 20mg chewable tablets (upjohn uk ltd),lipitor 20mg chewable tablets,atorvastatin calcium trihydrate,2120000,1.97196E+16
